	CDD	Short name
0	cd00018	AP2
1	cd00049	MH1
2	cd00059	FH_FOX
3	cd00067	GAL4
4	cd00073	H15
5	cd00073	H15
6	cd00074	H2A
7	cd00076	H4
8	cd00080	H3TH_StructSpec-5'-nucleases
9	cd00083	bHLH_SF
10	cd00084	HMG-box_SF
11	cd00086	homeodomain
12	cd00090	HTH_ARSR
13	cd00092	HTH_CRP
14	cd00092	HTH_CRP
15	cd00093	HTH_XRE
16	cd00093	HTH_XRE
17	cd00120	MADS
18	cd00122	MBD
19	cd00131	PAX
20	cd00140	beta_clamp
21	cd00167	SANT
22	cd00182	T-box
23	cd00186	TOP1Ac
24	cd00202	ZnF_GATA
25	cd00217	INT_Flp_C
26	cd00265	MADS_MEF2_like
27	cd00266	MADS_SRF_like
28	cd00283	GIY-YIG_Cterm
29	cd00315	Cyt_C5_DNA_methylase
30	cd00383	trans_reg_C
31	cd00397	DNA_BRE_C
32	cd00424	PolY
33	cd00490	Met_repressor_MetJ
34	cd00523	Holliday_junction_resolvase
35	cd00540	AAG
36	cd00569	HTH_Hin_like
37	cd00577	PCNA
38	cd00583	MutH-like
39	cd00591	HU_IHF
40	cd00592	HTH_MerR-like
41	cd00594	KU
42	cd00602	IPT_TF
43	cd00630	RNAP_largest_subunit_C
44	cd00659	Topo_IB_C
45	cd00660	Topoisomer_IB_N
46	cd00788	KU70
47	cd00789	KU_like
48	cd00799	INT_Cre_C
49	cd00840	MPP_Mre11_N
50	cd00873	KU80
51	cd00941	FokI_N
52	cd00942	BamHI-like
53	cd00943	EcoRI-like
54	cd00984	DnaB_C
55	cd01104	HTH_MlrA-CarA
56	cd01105	HTH_GlnR-like
57	cd01106	HTH_TipAL-Mta
58	cd01107	HTH_BmrR
59	cd01108	HTH_CueR
60	cd01109	HTH_YyaN
61	cd01110	HTH_SoxR
62	cd01111	HTH_MerD
63	cd01123	Rad51_DMC1_archRadA
64	cd01177	IPT_NFkappaB
65	cd01178	IPT_NFAT
66	cd01193	INT_IntI_C
67	cd01279	HTH_HspR-like
68	cd01282	HTH_MerR-like_sg3
69	cd01388	HMG-box_SoxB
70	cd01389	HMG-box_ROX1-like
71	cd01390	HMG-box_NHP6-like
72	cd01392	HTH_LacI
73	cd01395	HMT_MBD
74	cd01396	MeCP2_MBD
75	cd01397	HAT_MBD
76	cd01645	RT_Rtv
77	cd01700	PolY_Pol_V_umuC
78	cd01701	PolY_Rev1
79	cd01702	PolY_Pol_eta
80	cd01703	PolY_Pol_iota
81	cd02058	serpinB_MENT-like
82	cd02396	KH-I_PCBP_rpt2
83	cd02426	Pol_gamma_b_Cterm
84	cd02584	RNAP_II_Rpb1_C
85	cd02655	RNAP_beta'_C
86	cd02735	RNAP_I_Rpa1_C
87	cd02736	RNAP_III_Rpc1_C
88	cd03431	DNA_Glycosylase_C
89	cd03468	PolY_like
90	cd03488	Topoisomer_IB_N_htopoI_like
91	cd03489	Topoisomer_IB_N_LdtopoI_like
92	cd03490	Topoisomer_IB_N_1
93	cd03586	PolY_Pol_IV_kappa
94	cd03715	RT_ZFREV_like
95	cd03768	SR_ResInv
96	cd04458	CSP_CDS
97	cd04474	RPA1_DBD_A
98	cd04475	RPA1_DBD_B
99	cd04488	RecG_wedge_OBF
100	cd04494	BRCA2DBD_OB2
101	cd04495	BRCA2DBD_OB3
102	cd04496	SSB_OBF
103	cd04497	hPOT1_OB1_like
104	cd04498	hPOT1_OB2
105	cd04761	HTH_MerR-SF
106	cd04762	HTH_MerR-trunc
107	cd04763	HTH_MlrA-like
108	cd04764	HTH_MlrA-like_sg1
109	cd04765	HTH_MlrA-like_sg2
110	cd04766	HTH_HspR
111	cd04767	HTH_HspR-like_MBC
112	cd04768	HTH_BmrR-like
113	cd04769	HTH_MerR2
114	cd04770	HTH_HMRTR
115	cd04772	HTH_TioE_rpt1
116	cd04773	HTH_TioE_rpt2
117	cd04774	HTH_YfmP
118	cd04775	HTH_Cfa-like
119	cd04776	HTH_GnyR
120	cd04777	HTH_MerR-like_sg1
121	cd04778	HTH_MerR-like_sg2
122	cd04779	HTH_MerR-like_sg4
123	cd04780	HTH_MerR-like_sg5
124	cd04781	HTH_MerR-like_sg6
125	cd04782	HTH_BltR
126	cd04783	HTH_MerR1
127	cd04784	HTH_CadR-PbrR
128	cd04785	HTH_CadR-PbrR-like
129	cd04786	HTH_MerR-like_sg7
130	cd04787	HTH_HMRTR_unk
131	cd04788	HTH_NolA-AlbR
132	cd04789	HTH_Cfa
133	cd04790	HTH_Cfa-like_unk
134	cd04859	Prim_Pol
135	cd05834	PWWP_HRP
136	cd06170	LuxR_C_like
137	cd06171	Sigma70_r4
138	cd06444	DNA_pol_A
139	cd06445	ATase
140	cd06528	RNAP_A''
141	cd06916	NR_DBD_like
142	cd06955	NR_DBD_VDR
143	cd06956	NR_DBD_RXR
144	cd06957	NR_DBD_PNR_like_2
145	cd06958	NR_DBD_COUP_TF
146	cd06959	NR_DBD_EcR_like
147	cd06960	NR_DBD_HNF4A
148	cd06961	NR_DBD_TR
149	cd06962	NR_DBD_FXR
150	cd06963	NR_DBD_GR_like
151	cd06964	NR_DBD_RAR
152	cd06965	NR_DBD_Ppar
153	cd06966	NR_DBD_CAR
154	cd06967	NR_DBD_TR2_like
155	cd06968	NR_DBD_ROR
156	cd06969	NR_DBD_NGFI-B
157	cd06970	NR_DBD_PNR
158	cd07153	Fur_like
159	cd07154	NR_DBD_PNR_like
160	cd07155	NR_DBD_ER_like
161	cd07156	NR_DBD_VDR_like
162	cd07157	2DBD_NR_DBD1
163	cd07158	NR_DBD_Ppar_like
164	cd07160	NR_DBD_LXR
165	cd07161	NR_DBD_EcR
166	cd07162	NR_DBD_PXR
167	cd07163	NR_DBD_TLX
168	cd07164	NR_DBD_PNR_like_1
169	cd07165	NR_DBD_DmE78_like
170	cd07166	NR_DBD_REV_ERB
171	cd07167	NR_DBD_Lrh-1_like
172	cd07168	NR_DBD_DHR4_like
173	cd07169	NR_DBD_GCNF_like
174	cd07170	NR_DBD_ERR
175	cd07171	NR_DBD_ER
176	cd07172	NR_DBD_GR_PR
177	cd07173	NR_DBD_AR
178	cd07179	2DBD_NR_DBD2
179	cd07377	WHTH_GntR
180	cd07827	RHD-n
181	cd07881	RHD-n_NFAT
182	cd07882	RHD-n_TonEBP
183	cd07883	RHD-n_NFkB
184	cd07884	RHD-n_Relish
185	cd07885	RHD-n_RelA
186	cd07886	RHD-n_RelB
187	cd07887	RHD-n_Dorsal_Dif
188	cd07893	OBF_DNA_ligase
189	cd07896	Adenylation_kDNA_ligase_like
190	cd07897	Adenylation_DNA_ligase_Bac1
191	cd07898	Adenylation_DNA_ligase
192	cd07900	Adenylation_DNA_ligase_I_Euk
193	cd07901	Adenylation_DNA_ligase_Arch_LigB
194	cd07902	Adenylation_DNA_ligase_III
195	cd07903	Adenylation_DNA_ligase_IV
196	cd07905	Adenylation_DNA_ligase_LigC
197	cd07906	Adenylation_DNA_ligase_LigD_LigC
198	cd07927	RHD-n_NFAT_like
199	cd07933	RHD-n_c-Rel
200	cd07934	RHD-n_NFkB2
201	cd07935	RHD-n_NFkB1
202	cd07967	OBF_DNA_ligase_III
203	cd07968	OBF_DNA_ligase_IV
204	cd07969	OBF_DNA_ligase_I
205	cd07970	OBF_DNA_ligase_LigC
206	cd07971	OBF_DNA_ligase_LigD
207	cd07972	OBF_DNA_ligase_Arch_LigB
208	cd07976	TFIIA_alpha_beta_like
209	cd08039	Adenylation_DNA_ligase_Fungal
210	cd08040	OBF_DNA_ligase_family
211	cd08041	OBF_kDNA_ligase_like
212	cd08367	P53
213	cd08637	DNA_pol_A_pol_I_C
214	cd08638	DNA_pol_A_theta
