Gene	Ensembl	Uniprot
ABHD8	ENSG00000127220	Q96I13
ABL1	ENSG00000097007	P00519
ABRAXAS1	ENSG00000163322	Q6UWZ7
AC004593.2	ENSG00000285162	
AC073610.1	ENSG00000272822	
ACD	ENSG00000102977	Q96AP0
AGL	ENSG00000162688	P35573
AHCTF1	ENSG00000153207	Q8WYP5
AL031681.2	ENSG00000288000	
ALX1	ENSG00000180318	Q15699
AMER1	ENSG00000184675	Q5JTC6
AMER3	ENSG00000178171	Q8N944
AMIGO1	ENSG00000181754	Q86WK6
AMZ2	ENSG00000196704	Q86W34
ANGEL2	ENSG00000174606	Q5VTE6
ANKMY1	ENSG00000144504	Q9P2S6
ANKRD29	ENSG00000154065	Q8N6D5
ANKRD62	ENSG00000181626	A6NC57
ANKZF1	ENSG00000163516	Q9H8Y5
APOL6	ENSG00000221963	Q9BWW8
ARHGAP35	ENSG00000160007	Q9NRY4
ARHGEF19	ENSG00000142632	Q8IW93
ARMT1	ENSG00000146476	Q9H993
ARNT	ENSG00000143437	P27540
ATF7IP	ENSG00000171681	Q6VMQ6
ATMIN	ENSG00000166454	O43313
ATP8B1	ENSG00000081923	O43520
ATRX	ENSG00000085224	P46100
BABAM1	ENSG00000105393	Q9NWV8
BANP	ENSG00000172530	Q8N9N5
BCL11A	ENSG00000119866	Q9H165
BCL9	ENSG00000116128	O00512
BECN1	ENSG00000126581	Q14457
BHLHE40	ENSG00000134107	O14503
BLMH	ENSG00000108578	Q13867
BMI1	ENSG00000168283	P35226
BOC	ENSG00000144857	Q9BWV1
BOLA3	ENSG00000163170	Q53S33
BRCA1	ENSG00000012048	P38398
BRF1	ENSG00000185024	Q92994
C11orf54	ENSG00000182919	Q9H0W9
C11orf71	ENSG00000180425	Q6IPW1
C12orf4	ENSG00000047621	Q9NQ89
C16orf87	ENSG00000155330	Q6PH81
C19orf44	ENSG00000105072	Q9H6X5
C1GALT1	ENSG00000106392	Q9NS00
C1orf100	ENSG00000173728	Q5SVJ3
C21orf58	ENSG00000160298	P58505
C2orf16	ENSG00000221843	Q68DN1
C3orf52	ENSG00000114529	Q5BVD1
C4orf33	ENSG00000151470	Q8N1A6
C4orf54	ENSG00000248713	D6RIA3
C8orf58	ENSG00000241852	Q8NAV2
C9orf153	ENSG00000187753	Q5TBE3
CABLES1	ENSG00000134508	Q8TDN4
CAND2	ENSG00000144712	O75155
CASP8AP2	ENSG00000118412	
CBX1	ENSG00000108468	P83916
CBX3	ENSG00000122565	Q13185
CBX4	ENSG00000141582	O00257
CBX6	ENSG00000183741	O95503
CCAR2	ENSG00000158941	Q8N163
CCDC102A	ENSG00000135736	Q96A19
CCDC159	ENSG00000183401	P0C7I6
CCDC188	ENSG00000234409	H7C350
CCDC63	ENSG00000173093	Q8NA47
CCDC82	ENSG00000149231	Q8N4S0
CCNA1	ENSG00000133101	P78396
CCNDBP1	ENSG00000166946	O95273
CCNI	ENSG00000118816	Q14094
CCNL1	ENSG00000163660	Q9UK58
CDC14A	ENSG00000079335	Q9UNH5
CDKN1A	ENSG00000124762	P38936
CDKN1C	ENSG00000129757	P49918
CDT1	ENSG00000167513	Q9H211
CENPB	ENSG00000125817	P07199
CENPC	ENSG00000145241	Q03188
CENPI	ENSG00000102384	Q92674
CENPO	ENSG00000138092	Q9BU64
CENPT	ENSG00000102901	Q96BT3
CFAP36	ENSG00000163001	Q96G28
CFLAR	ENSG00000003402	O15519
CGAS	ENSG00000164430	Q8N884
CGNL1	ENSG00000128849	Q0VF96
CHAMP1	ENSG00000198824	Q96JM3
CHFR	ENSG00000072609	Q96EP1
CHN2	ENSG00000106069	P52757
CLBA1	ENSG00000140104	Q96F83
CLCF1	ENSG00000175505	Q9UBD9
CLIC3	ENSG00000169583	O95833
CLK2	ENSG00000176444	P49760
CLMN	ENSG00000165959	Q96JQ2
CNOT7	ENSG00000198791	Q9UIV1
COIL	ENSG00000121058	P38432
COMMD3-BMI1	ENSG00000269897	
CORIN	ENSG00000145244	Q9Y5Q5
CREBBP	ENSG00000005339	Q92793
CRTC1	ENSG00000105662	Q6UUV9
CSF1	ENSG00000184371	P09603
CSTF2	ENSG00000101811	P33240
CTAG2	ENSG00000126890	O75638
CTCFL	ENSG00000124092	Q8NI51
DALRD3	ENSG00000178149	Q5D0E6
DAPL1	ENSG00000163331	A0PJW8
DAW1	ENSG00000123977	Q8N136
DAXX	ENSG00000204209	Q9UER7
DBF4	ENSG00000006634	Q9UBU7
DCANP1	ENSG00000251380	Q8TF63
DCLRE1B	ENSG00000118655	Q9H816
DDX20	ENSG00000064703	Q9UHI6
DEPTOR	ENSG00000155792	Q8TB45
DGCR8	ENSG00000128191	Q8WYQ5
DHX35	ENSG00000101452	Q9H5Z1
DHX8	ENSG00000067596	Q14562
DIPK1B	ENSG00000165716	Q5VUD6
DISP1	ENSG00000154309	Q96F81
DKK3	ENSG00000050165	Q9UBP4
DLX6	ENSG00000006377	P56179
DNAAF3	ENSG00000167646	Q8N9W5
DNMBP	ENSG00000107554	Q6XZF7
DOK2	ENSG00000147443	O60496
DPH7	ENSG00000148399	Q9BTV6
DPY19L4	ENSG00000156162	Q7Z388
DRG1	ENSG00000185721	Q9Y295
DSN1	ENSG00000149636	Q9H410
DTWD2	ENSG00000169570	Q8NBA8
DTX1	ENSG00000135144	Q86Y01
DVL2	ENSG00000004975	O14641
DYNLL1	ENSG00000088986	P63167
DYNLL2	ENSG00000264364	Q96FJ2
EAF1	ENSG00000144597	Q96JC9
EBF2	ENSG00000221818	Q9HAK2
EBLN2	ENSG00000255423	Q6P2I7
EEFSEC	ENSG00000132394	P57772
EFCAB12	ENSG00000172771	Q6NXP0
EHMT1	ENSG00000181090	Q9H9B1
EIF2D	ENSG00000143486	P41214
EIF4H	ENSG00000106682	Q15056
ELF2	ENSG00000109381	Q15723
ELF4	ENSG00000102034	Q99607
ELL	ENSG00000105656	P55199
ELMOD2	ENSG00000179387	Q8IZ81
ENG	ENSG00000106991	P17813
ENOPH1	ENSG00000145293	Q9UHY7
EPB41	ENSG00000159023	P11171
ERCC4	ENSG00000175595	Q92889
ERCC6	ENSG00000225830	"P0DP91, Q03468"
ESRP1	ENSG00000104413	Q6NXG1
EVI2A	ENSG00000126860	P22794
EVI5L	ENSG00000142459	Q96CN4
EVPLL	ENSG00000214860	A8MZ36
EXO1	ENSG00000174371	Q9UQ84
EXOC6B	ENSG00000144036	Q9Y2D4
EXOSC1	ENSG00000171311	Q9Y3B2
EYA1	ENSG00000104313	Q99502
FAAP20	ENSG00000162585	Q6NZ36
FAM122A	ENSG00000187866	Q96E09
FAM163B	ENSG00000196990	P0C2L3
FANCD2	ENSG00000144554	Q9BXW9
FANCL	ENSG00000115392	Q9NW38
FAS	ENSG00000026103	P25445
FBXL3	ENSG00000005812	Q9UKT7
FBXO48	ENSG00000204923	Q5FWF7
FGF2	ENSG00000138685	P09038
FGGY	ENSG00000172456	Q96C11
FLI1	ENSG00000151702	Q01543
FLYWCH1	ENSG00000059122	Q4VC44
FOXC2	ENSG00000176692	Q99958
FOXF2	ENSG00000137273	Q12947
FZD2	ENSG00000180340	Q14332
GABARAPL2	ENSG00000034713	P60520
GALNT17	ENSG00000185274	Q6IS24
GATA4	ENSG00000136574	P43694
GCNT7	ENSG00000124091	Q6ZNI0
GEMIN2	ENSG00000092208	O14893
GEMIN4	ENSG00000179409	P57678
GEMIN5	ENSG00000082516	Q8TEQ6
GEMIN6	ENSG00000152147	Q8WXD5
GIPC3	ENSG00000179855	Q8TF64
GMFB	ENSG00000197045	P60983
GMFG	ENSG00000130755	O60234
GNL3	ENSG00000163938	Q9BVP2
GON4L	ENSG00000116580	Q3T8J9
GPR155	ENSG00000163328	Q7Z3F1
GSDMA	ENSG00000167914	Q96QA5
GTF2B	ENSG00000137947	Q00403
GTF3C6	ENSG00000155115	Q969F1
GTPBP1	ENSG00000100226	O00178
H1-0	ENSG00000189060	P07305
HACE1	ENSG00000085382	Q8IYU2
HAND1	ENSG00000113196	O96004
HBS1L	ENSG00000112339	Q9Y450
HDC	ENSG00000140287	P19113
HELB	ENSG00000127311	Q8NG08
HES6	ENSG00000144485	Q96HZ4
HEY2	ENSG00000135547	Q9UBP5
HGH1	ENSG00000235173	Q9BTY7
HHEX	ENSG00000152804	Q03014
HIF1A	ENSG00000100644	Q16665
HIKESHI	ENSG00000149196	Q53FT3
HIPK3	ENSG00000110422	Q9H422
HIVEP1	ENSG00000095951	P15822
HMBOX1	ENSG00000147421	Q6NT76
HOPX	ENSG00000171476	Q9BPY8
HOXA10	ENSG00000253293	P31260
HOXA4	ENSG00000197576	Q00056
HOXB7	ENSG00000260027	P09629
HOXC10	ENSG00000180818	Q9NYD6
HOXD3	ENSG00000128652	P31249
ICE1	ENSG00000164151	Q9Y2F5
ICE2	ENSG00000128915	Q659A1
ID2	ENSG00000115738	Q02363
IDH1	ENSG00000138413	O75874
IGHMBP2	ENSG00000132740	P38935
IKZF2	ENSG00000030419	Q9UKS7
IKZF4	ENSG00000123411	Q9H2S9
INAVA	ENSG00000163362	Q3KP66
INCA1	ENSG00000196388	Q0VD86
INCENP	ENSG00000149503	Q9NQS7
INF2	ENSG00000203485	Q27J81
INO80	ENSG00000128908	Q9ULG1
INO80B	ENSG00000115274	Q9C086
INTS12	ENSG00000138785	Q96CB8
INTS13	ENSG00000064102	Q9NVM9
INTS14	ENSG00000138614	Q96SY0
INTS6L	ENSG00000165359	Q5JSJ4
INTS7	ENSG00000143493	Q9NVH2
IRAG1	ENSG00000072952	Q9Y6F6
ISX	ENSG00000175329	Q2M1V0
ITGB1BP1	ENSG00000119185	O14713
IVL	ENSG00000163207	P07476
JRK	ENSG00000234616	O75564
KAT6B	ENSG00000156650	Q8WYB5
KCNE4	ENSG00000152049	Q8WWG9
KCTD13	ENSG00000174943	Q8WZ19
KDM5A	ENSG00000073614	P29375
KIF18B	ENSG00000186185	Q86Y91
KIF3C	ENSG00000084731	O14782
KLF11	ENSG00000172059	O14901
KLHDC2	ENSG00000165516	Q9Y2U9
KLHL17	ENSG00000187961	Q6TDP4
KLHL18	ENSG00000114648	O94889
KMT2E	ENSG00000005483	Q8IZD2
KNL1	ENSG00000137812	Q8NG31
KREMEN1	ENSG00000183762	Q96MU8
L3MBTL1	ENSG00000185513	Q9Y468
LACTBL1	ENSG00000215906	A8MY62
LAGE3	ENSG00000196976	Q14657
LARS1	ENSG00000133706	Q9P2J5
LBX1	ENSG00000138136	P52954
LETM2	ENSG00000165046	Q2VYF4
LHFPL2	ENSG00000145685	Q6ZUX7
LHX5	ENSG00000089116	Q9H2C1
LPAR4	ENSG00000147145	Q99677
LRRC2	ENSG00000163827	Q9BYS8
LRRC41	ENSG00000132128	Q15345
LRRC9	ENSG00000131951	Q6ZRR7
LRRN4CL	ENSG00000177363	Q8ND94
LSG1	ENSG00000041802	Q9H089
LSM10	ENSG00000181817	Q969L4
LSM11	ENSG00000155858	P83369
LYRM4	ENSG00000214113	Q9HD34
LYSMD2	ENSG00000140280	Q8IV50
MAF	ENSG00000178573	O75444
MAGEA11	ENSG00000185247	P43364
MAML2	ENSG00000184384	Q8IZL2
MAU2	ENSG00000129933	Q9Y6X3
MCIDAS	ENSG00000234602	D6RGH6
MDC1	ENSG00000137337	Q14676
MEAF6	ENSG00000163875	Q9HAF1
MED11	ENSG00000161920	Q9P086
MED19	ENSG00000156603	A0JLT2
MED7	ENSG00000155868	O43513
MESD	ENSG00000117899	Q14696
METTL3	ENSG00000165819	Q86U44
MKI67	ENSG00000148773	P46013
MKNK2	ENSG00000099875	Q9HBH9
MRPL36	ENSG00000171421	Q9P0J6
MRPL44	ENSG00000135900	Q9H9J2
MSANTD2	ENSG00000120458	Q6P1R3
MSH3	ENSG00000113318	P20585
MTBP	ENSG00000172167	Q96DY7
MTMR10	ENSG00000166912	Q9NXD2
MYH9	ENSG00000100345	P35579
MYO1C	ENSG00000197879	O00159
NAA15	ENSG00000164134	Q9BXJ9
NBR1	ENSG00000188554	Q14596
NCAM2	ENSG00000154654	O15394
NCOA2	ENSG00000140396	Q15596
NCOA7	ENSG00000111912	Q8NI08
NDUFS3	ENSG00000213619	O75489
NELFA	ENSG00000185049	Q9H3P2
NELFCD	ENSG00000101158	Q8IXH7
NELFE	ENSG00000204356	P18615
NEMF	ENSG00000165525	O60524
NEUROG1	ENSG00000181965	Q92886
NFATC1	ENSG00000131196	O95644
NFIL3	ENSG00000165030	Q16649
