Gene	Ensembl	Uniprot
AAGAB	ENSG00000103591	Q6PD74
ABHD17A	ENSG00000129968	Q96GS6
AC023055.1	ENSG00000257390	
AC091959.1	ENSG00000275740	
ADAL	ENSG00000168803	Q6DHV7
ADAM33	ENSG00000149451	Q9BZ11
ADAMTS4	ENSG00000158859	O75173
ADGRD1	ENSG00000111452	Q6QNK2
AIPL1	ENSG00000129221	Q9NZN9
AK6	ENSG00000085231	Q9Y3D8
AKAP17A	ENSG00000197976	Q02040
AKAP8L	ENSG00000011243	Q9ULX6
AL357075.4	ENSG00000288520	G9CGD6
AL669918.1	ENSG00000250264	
ALMS1	ENSG00000116127	Q8TCU4
ALOX12	ENSG00000108839	P18054
ALYREF	ENSG00000183684	
ANKRD44	ENSG00000065413	Q8N8A2
ANKRD55	ENSG00000164512	Q3KP44
ANXA9	ENSG00000143412	O76027
AP001273.2	ENSG00000284057	
AP5Z1	ENSG00000242802	O43299
API5	ENSG00000166181	Q9BZZ5
ARHGAP18	ENSG00000146376	Q8N392
ARHGAP42	ENSG00000165895	A6NI28
ARMCX5	ENSG00000125962	Q6P1M9
ATP6V0A1	ENSG00000033627	Q93050
ATXN7L3	ENSG00000087152	Q14CW9
BARD1	ENSG00000138376	Q99728
BAZ2A	ENSG00000076108	Q9UIF9
BCAS2	ENSG00000116752	O75934
BCL2L2-PABPN1	ENSG00000258643	Q92843
BCLAF1	ENSG00000029363	Q9NYF8
BEND5	ENSG00000162373	Q7L4P6
BHLHE22	ENSG00000180828	Q8NFJ8
BMP2K	ENSG00000138756	Q9NSY1
BNIP3L	ENSG00000104765	O60238
BPNT1	ENSG00000162813	O95861
BRD1	ENSG00000100425	O95696
BRD2	ENSG00000204256	P25440
BRK1	ENSG00000254999	Q8WUW1
C11orf49	ENSG00000149179	Q9H6J7
C12orf57	ENSG00000111678	Q99622
C16orf70	ENSG00000125149	Q9BSU1
C16orf71	ENSG00000166246	Q8IYS4
C1orf127	ENSG00000175262	
C1orf35	ENSG00000143793	Q9BU76
C3orf62	ENSG00000188315	Q6ZUJ4
C5orf46	ENSG00000178776	Q6UWT4
C6orf226	ENSG00000221821	Q5I0X4
C6orf52	ENSG00000137434	Q5T4I8
CACTIN	ENSG00000105298	Q8WUQ7
CBFA2T2	ENSG00000078699	O43439
CBLL1	ENSG00000105879	Q75N03
CCDC169	ENSG00000242715	A6NNP5
CCDC181	ENSG00000117477	Q5TID7
CCDC32	ENSG00000128891	Q9BV29
CCNB3	ENSG00000147082	Q8WWL7
CCNJL	ENSG00000135083	Q8IV13
CD2BP2	ENSG00000169217	O95400
CDC25C	ENSG00000158402	P30307
CDC34	ENSG00000099804	P49427
CDK11A	ENSG00000008128	Q9UQ88
CDK11B	ENSG00000248333	P21127
CDK12	ENSG00000167258	Q9NYV4
CDK13	ENSG00000065883	Q14004
CDX4	ENSG00000131264	O14627
CDYL	ENSG00000153046	Q9Y232
CHD5	ENSG00000116254	Q8TDI0
CHIC1	ENSG00000204116	Q5VXU3
CHRNA3	ENSG00000080644	P32297
CHTOP	ENSG00000160679	Q9Y3Y2
CIR1	ENSG00000138433	Q86X95
CLIC5	ENSG00000112782	Q9NZA1
CMTR2	ENSG00000180917	Q8IYT2
CMYA5	ENSG00000164309	Q8N3K9
COG6	ENSG00000133103	Q9Y2V7
COPS4	ENSG00000138663	Q9BT78
CPSF6	ENSG00000111605	Q16630
CRIP1	ENSG00000213145	P50238
CRIP3	ENSG00000146215	Q6Q6R5
CRY2	ENSG00000121671	Q49AN0
CSRNP2	ENSG00000110925	Q9H175
CWC15	ENSG00000150316	Q9P013
CWC22	ENSG00000163510	Q9HCG8
CWC25	ENSG00000273559	Q9NXE8
CWF19L2	ENSG00000152404	Q2TBE0
CYGB	ENSG00000161544	Q8WWM9
CYP4V2	ENSG00000145476	Q6ZWL3
CYSRT1	ENSG00000197191	A8MQ03
DACH1	ENSG00000276644	Q9UI36
DAZAP2	ENSG00000183283	Q15038
DBNDD1	ENSG00000003249	Q9H9R9
DDX17	ENSG00000100201	Q92841
DDX39A	ENSG00000123136	O00148
DDX39B	ENSG00000198563	Q13838
DDX42	ENSG00000198231	Q86XP3
DDX46	ENSG00000145833	Q7L014
DENND1B	ENSG00000213047	Q6P3S1
DEXI	ENSG00000182108	O95424
DGKZ	ENSG00000149091	Q13574
DHX15	ENSG00000109606	O43143
DLX2	ENSG00000115844	Q07687
DNAAF1	ENSG00000154099	Q8NEP3
DNMT3L	ENSG00000142182	Q9UJW3
DOCK1	ENSG00000150760	Q14185
DPCD	ENSG00000166171	Q9BVM2
DRP2	ENSG00000102385	Q13474
DUSP28	ENSG00000188542	Q4G0W2
E2F3	ENSG00000112242	O00716
E2F7	ENSG00000165891	Q96AV8
EEPD1	ENSG00000122547	Q7L9B9
EFCAB13	ENSG00000178852	Q8IY85
EGFL8	ENSG00000241404	Q99944
EHMT2	ENSG00000204371	Q96KQ7
ELMOD1	ENSG00000110675	Q8N336
ELOA	ENSG00000011007	Q14241
EPC2	ENSG00000135999	Q52LR7
EPG5	ENSG00000152223	Q9HCE0
EPHA2	ENSG00000142627	P29317
EPHB6	ENSG00000106123	
EPOR	ENSG00000187266	P19235
ERBIN	ENSG00000112851	Q96RT1
ERCC8	ENSG00000049167	Q13216
ESX1	ENSG00000123576	Q8N693
EXOSC7	ENSG00000075914	Q15024
FAM107A	ENSG00000168309	O95990
FAM160B1	ENSG00000151553	Q5W0V3
FAM174C	ENSG00000228300	Q9BVV8
FAM178B	ENSG00000168754	Q8IXR5
FAM227B	ENSG00000166262	Q96M60
FAM71A	ENSG00000162771	Q8IYT1
FASTK	ENSG00000164896	Q14296
FBXL4	ENSG00000112234	Q9UKA2
FBXO34	ENSG00000178974	Q9NWN3
FCHSD2	ENSG00000137478	O94868
FEV	ENSG00000163497	Q99581
FIBP	ENSG00000172500	O43427
FLT4	ENSG00000037280	P35916
FOXJ3	ENSG00000198815	Q9UPW0
FOXO4	ENSG00000184481	P98177
FYTTD1	ENSG00000122068	Q96QD9
GAB3	ENSG00000160219	Q8WWW8
GADD45A	ENSG00000116717	P24522
GAS1	ENSG00000180447	P54826
GCAT	ENSG00000100116	O75600
GCNT1	ENSG00000187210	Q02742
GNAQ	ENSG00000156052	P50148
GNB5	ENSG00000069966	O14775
GPATCH2	ENSG00000092978	Q9NW75
GPATCH8	ENSG00000186566	Q9UKJ3
GPN3	ENSG00000111231	Q9UHW5
GRAMD2A	ENSG00000175318	Q8IUY3
GRK5	ENSG00000198873	P34947
GSC	ENSG00000133937	P56915
GTF2H2	ENSG00000145736	Q13888
GTF2H2C	ENSG00000183474	Q6P1K8
GTF2H4	ENSG00000213780	Q92759
H1-4	ENSG00000168298	P10412
H2AX	ENSG00000188486	P16104
HAS2	ENSG00000170961	Q92819
HAUS6	ENSG00000147874	Q7Z4H7
HBP1	ENSG00000105856	O60381
HDAC4	ENSG00000068024	P56524
HDAC5	ENSG00000108840	Q9UQL6
HEATR5B	ENSG00000008869	Q9P2D3
HELQ	ENSG00000163312	Q8TDG4
HES5	ENSG00000197921	Q5TA89
HEXIM2	ENSG00000168517	Q96MH2
HIKESHI	ENSG00000149196	Q53FT3
HOXA6	ENSG00000106006	P31267
HP1BP3	ENSG00000127483	Q5SSJ5
HPD	ENSG00000158104	P32754
HSF4	ENSG00000102878	Q9ULV5
HSPB3	ENSG00000169271	Q12988
HSPB6	ENSG00000004776	O14558
HTR7	ENSG00000148680	P34969
IK	ENSG00000113141	Q13123
IL15	ENSG00000164136	P40933
IL16	ENSG00000172349	Q14005
ILRUN	ENSG00000196821	Q9H6K1
IPCEF1	ENSG00000074706	Q8WWN9
IQCK	ENSG00000174628	Q8N0W5
IQUB	ENSG00000164675	Q8NA54
IRX5	ENSG00000176842	P78411
ISL1	ENSG00000016082	P61371
ISY1	ENSG00000240682	Q9ULR0
ISY1-RAB43	ENSG00000261796	
ITGA7	ENSG00000135424	Q13683
ITPKC	ENSG00000086544	Q96DU7
JDP2	ENSG00000140044	Q8WYK2
KAT6A	ENSG00000083168	Q92794
KATNIP	ENSG00000047578	O60303
KAZN	ENSG00000189337	Q674X7
KCNK13	ENSG00000152315	Q9HB14
KCTD20	ENSG00000112078	Q7Z5Y7
KDM6B	ENSG00000132510	O15054
KIAA0100	ENSG00000007202	Q14667
KIAA1328	ENSG00000150477	Q86T90
KIF22	ENSG00000079616	Q14807
KLF15	ENSG00000163884	Q9UIH9
KLHDC7A	ENSG00000179023	Q5VTJ3
KTI12	ENSG00000198841	Q96EK9
LHPP	ENSG00000107902	Q9H008
LHX4	ENSG00000121454	Q969G2
LIMK1	ENSG00000106683	P53667
LIN52	ENSG00000205659	Q52LA3
LINC00634	ENSG00000205704	
LMNA	ENSG00000160789	P02545
LMTK2	ENSG00000164715	Q8IWU2
LNP1	ENSG00000206535	A1A4G5
LPXN	ENSG00000110031	O60711
LUC7L3	ENSG00000108848	O95232
MAGEA4	ENSG00000147381	P43358
MAMDC2	ENSG00000165072	Q7Z304
MAML3	ENSG00000196782	Q96JK9
MAMSTR	ENSG00000176909	Q6ZN01
MAP3K7	ENSG00000135341	O43318
MAPK1	ENSG00000100030	P28482
MAPK12	ENSG00000188130	P53778
MAPK14	ENSG00000112062	Q16539
MAPK9	ENSG00000050748	P45984
MAPT	ENSG00000186868	P10636
MAST3	ENSG00000099308	O60307
MBD4	ENSG00000129071	O95243
MECOM	ENSG00000085276	Q03112
MED17	ENSG00000042429	Q9NVC6
MKX	ENSG00000150051	Q8IYA7
MNS1	ENSG00000138587	Q8NEH6
MOCS2	ENSG00000164172	"O96007, O96033"
MORF4L1	ENSG00000185787	Q9UBU8
MRTFB	ENSG00000186260	Q9ULH7
MSX2	ENSG00000120149	P35548
MYADM	ENSG00000179820	Q96S97
NAMPT	ENSG00000105835	P43490
NCAPG2	ENSG00000146918	Q86XI2
NCBP3	ENSG00000074356	Q53F19
NDUFB1	ENSG00000183648	O75438
NEK8	ENSG00000160602	Q86SG6
NEUROG3	ENSG00000122859	Q9Y4Z2
NFATC4	ENSG00000100968	Q14934
NFKBIZ	ENSG00000144802	Q9BYH8
NME8	ENSG00000086288	Q8N427
NR0B1	ENSG00000169297	P51843
NR2F6	ENSG00000160113	P10588
NR4A2	ENSG00000153234	P43354
NR5A2	ENSG00000116833	O00482
NSL1	ENSG00000117697	Q96IY1
NUP43	ENSG00000120253	Q8NFH3
OIP5	ENSG00000104147	O43482
OSER1	ENSG00000132823	Q9NX31
PABPN1	ENSG00000100836	Q86U42
PACSIN2	ENSG00000100266	Q9UNF0
PAGE3	ENSG00000204279	Q5JUK9
PALB2	ENSG00000083093	Q86YC2
PARN	ENSG00000140694	O95453
PASD1	ENSG00000166049	Q8IV76
PCBP1	ENSG00000169564	Q15365
PCDHA5	ENSG00000204965	Q9Y5H7
PCLO	ENSG00000186472	Q9Y6V0
PCP2	ENSG00000174788	Q8IVA1
PDZK1IP1	ENSG00000162366	Q13113
PHLDB3	ENSG00000176531	Q6NSJ2
PHYHD1	ENSG00000175287	Q5SRE7
PINX1	ENSG00000258724	
PLA1A	ENSG00000144837	Q53H76
PLAG1	ENSG00000181690	Q6DJT9
PLEKHN1	ENSG00000187583	Q494U1
PLRG1	ENSG00000171566	O43660
PNISR	ENSG00000132424	Q8TF01
PNN	ENSG00000100941	Q9H307
POLDIP3	ENSG00000100227	Q9BY77
POLI	ENSG00000101751	Q9UNA4
POLR2D	ENSG00000144231	O15514
POLR3B	ENSG00000013503	Q9NW08
POMP	ENSG00000132963	Q9Y244
PPIE	ENSG00000084072	Q9UNP9
PPIG	ENSG00000138398	Q13427
PPP1R16B	ENSG00000101445	Q96T49
PPP1R8	ENSG00000117751	Q12972
PPP4R3A	ENSG00000100796	Q6IN85
PPP4R3B	ENSG00000275052	Q5MIZ7
PQBP1	ENSG00000102103	O60828
PRCC	ENSG00000143294	Q92733
PRDM7	ENSG00000126856	Q9NQW5
PRKAA1	ENSG00000132356	Q13131
PRKAA2	ENSG00000162409	P54646
PRKN	ENSG00000185345	O60260
PRPF18	ENSG00000165630	Q99633
PRPF19	ENSG00000110107	Q9UMS4
PRPF4	ENSG00000136875	O43172
PRPF40A	ENSG00000196504	O75400
PRPF4B	ENSG00000112739	Q13523
PRPF6	ENSG00000101161	O94906
PRPS2	ENSG00000101911	P11908
PRR32	ENSG00000183631	B1ATL7
PRR36	ENSG00000183248	Q9H6K5
PSKH1	ENSG00000159792	P11801
PSMD13	ENSG00000185627	Q9UNM6
PSMD8	ENSG00000099341	P48556
PUS7L	ENSG00000129317	Q9H0K6
PYROXD1	ENSG00000121350	Q8WU10
R3HCC1L	ENSG00000166024	Q7Z5L2
RAD18	ENSG00000070950	Q9NS91
RAD52	ENSG00000002016	P43351
RADX	ENSG00000147231	Q6NSI4
RALGAPB	ENSG00000170471	Q86X10
RAX2	ENSG00000173976	Q96IS3
RBBP6	ENSG00000122257	Q7Z6E9
RBM10	ENSG00000182872	P98175
RBM14	ENSG00000239306	Q96PK6
RBM25	ENSG00000119707	P49756
RBM26	ENSG00000139746	Q5T8P6
RBM27	ENSG00000091009	Q9P2N5
RBM39	ENSG00000131051	Q14498
RBM41	ENSG00000089682	Q96IZ5
RBM6	ENSG00000004534	P78332
RBM8A	ENSG00000265241	Q9Y5S9
RBP7	ENSG00000162444	Q96R05
RCAN3	ENSG00000117602	Q9UKA8
RFPL1	ENSG00000128250	O75677
RFPL2	ENSG00000128253	O75678
RFPL3	ENSG00000128276	O75679
RFXAP	ENSG00000133111	O00287
RMI2	ENSG00000175643	Q96E14
RNF112	ENSG00000128482	Q9ULX5
RNF151	ENSG00000179580	Q2KHN1
RPL3L	ENSG00000140986	Q92901
RPLP2	ENSG00000177600	P05387
RREB1	ENSG00000124782	Q92766
RSBN1L	ENSG00000187257	Q6PCB5
RSRC1	ENSG00000174891	Q96IZ7
RSRC2	ENSG00000111011	Q7L4I2
RTEL1	ENSG00000258366	Q9NZ71
RTL6	ENSG00000188636	Q6ICC9
RUFY1	ENSG00000176783	Q96T51
RUNDC1	ENSG00000198863	Q96C34
S100A11	ENSG00000163191	P31949
S100PBP	ENSG00000116497	Q96BU1
S1PR2	ENSG00000267534	O95136
SALL1	ENSG00000103449	Q9NSC2
SAP130	ENSG00000136715	Q9H0E3
SARNP	ENSG00000205323	P82979
SART1	ENSG00000175467	O43290
SCAND1	ENSG00000171222	P57086
SCAPER	ENSG00000140386	Q9BY12
SDE2	ENSG00000143751	Q6IQ49
SERPINB13	ENSG00000197641	Q9UIV8
SETD1A	ENSG00000099381	O15047
SETD2	ENSG00000181555	Q9BYW2
SETD4	ENSG00000185917	Q9NVD3
SF3A1	ENSG00000099995	Q15459
SF3A3	ENSG00000183431	Q12874
SF3B1	ENSG00000115524	O75533
SF3B2	ENSG00000087365	Q13435
SF3B4	ENSG00000143368	Q15427
SFMBT2	ENSG00000198879	Q5VUG0
SGK1	ENSG00000118515	O00141
SHANK2	ENSG00000162105	Q9UPX8
SHPK	ENSG00000197417	Q9UHJ6
SIK2	ENSG00000170145	Q9H0K1
SIM1	ENSG00000112246	P81133
SIRT7	ENSG00000187531	Q9NRC8
SLC25A12	ENSG00000115840	O75746
SLC28A1	ENSG00000156222	O00337
SLC2A4RG	ENSG00000125520	Q9NR83
SLC31A2	ENSG00000136867	O15432
SLC34A1	ENSG00000131183	Q06495
SLC4A2	ENSG00000164889	P04920
SLC9C2	ENSG00000162753	Q5TAH2
SLU7	ENSG00000164609	O95391
SMC4	ENSG00000113810	Q9NTJ3
SMC5	ENSG00000198887	Q8IY18
SMIM19	ENSG00000176209	Q96E16
SMTNL2	ENSG00000188176	Q2TAL5
SMURF2	ENSG00000108854	Q9HAU4
SNRNP40	ENSG00000060688	Q96DI7
SNRPA1	ENSG00000131876	P09661
SNRPB2	ENSG00000125870	P08579
SNURF	ENSG00000273173	Q9Y675
SOCS6	ENSG00000170677	O14544
SOHLH1	ENSG00000165643	Q5JUK2
