Gene	Ensembl	Uniprot
AC004556.3	ENSG00000276345	
AC087721.2	ENSG00000285920	
ACACA	ENSG00000278540	Q13085
AFF4	ENSG00000072364	Q9UHB7
AGER	ENSG00000204305	Q15109
AKNA	ENSG00000106948	Q7Z591
AKR1C2	ENSG00000151632	P52895
AKR1C3	ENSG00000196139	P42330
AKR1C4	ENSG00000198610	P17516
ALDOC	ENSG00000109107	P09972
ALG1	ENSG00000033011	Q9BT22
ALG1L2	ENSG00000251287	C9J202
ALX3	ENSG00000156150	O95076
ANKEF1	ENSG00000132623	Q9NU02
ANKRD1	ENSG00000148677	Q15327
ANKRD40	ENSG00000154945	Q6AI12
APEX2	ENSG00000169188	Q9UBZ4
ARHGAP32	ENSG00000134909	A7KAX9
ASB2	ENSG00000100628	Q96Q27
ATP5MPL	ENSG00000156411	P56378
B3GNT9	ENSG00000237172	Q6UX72
B3GNTL1	ENSG00000175711	Q67FW5
BAMBI	ENSG00000095739	Q13145
BCAM	ENSG00000187244	P50895
BCL11B	ENSG00000127152	Q9C0K0
BCL9L	ENSG00000186174	Q86UU0
BEND4	ENSG00000188848	Q6ZU67
BEND7	ENSG00000165626	Q8N7W2
BIRC2	ENSG00000110330	Q13490
BORA	ENSG00000136122	Q6PGQ7
BTBD10	ENSG00000148925	Q9BSF8
C16orf70	ENSG00000125149	Q9BSU1
C20orf194	ENSG00000088854	Q5TEA3
C2orf81	ENSG00000284308	A6NN90
CACNG6	ENSG00000130433	Q9BXT2
CAMK4	ENSG00000152495	Q16566
CARF	ENSG00000138380	Q8N187
CC2D1A	ENSG00000132024	Q6P1N0
CCDC127	ENSG00000164366	Q96BQ5
CCDC34	ENSG00000109881	Q96HJ3
CCDC88C	ENSG00000015133	Q9P219
CCR2	ENSG00000121807	P41597
CD48	ENSG00000117091	P09326
CDCA7L	ENSG00000164649	Q96GN5
CDK7	ENSG00000134058	P50613
CEMIP	ENSG00000103888	Q8WUJ3
CFAP36	ENSG00000163001	Q96G28
CFAP73	ENSG00000186710	A6NFT4
CFAP97	ENSG00000164323	Q9P2B7
CHCHD1	ENSG00000172586	Q96BP2
CHD1	ENSG00000153922	O14646
CILK1	ENSG00000112144	Q9UPZ9
CLHC1	ENSG00000162994	Q8NHS4
CLUH	ENSG00000132361	O75153
CNTNAP5	ENSG00000155052	Q8WYK1
COA4	ENSG00000181924	Q9NYJ1
COIL	ENSG00000121058	P38432
CRIPT	ENSG00000119878	Q9P021
CRPPA	ENSG00000214960	A4D126
CSNK1D	ENSG00000141551	P48730
CTSV	ENSG00000136943	O60911
CTTNBP2NL	ENSG00000143079	Q9P2B4
DAB2	ENSG00000153071	P98082
DCAF1	ENSG00000145041	Q9Y4B6
DCAF10	ENSG00000122741	Q5QP82
DCLRE1A	ENSG00000198924	Q6PJP8
DDX46	ENSG00000145833	Q7L014
DEAF1	ENSG00000177030	O75398
DEPDC1	ENSG00000024526	Q5TB30
DKC1	ENSG00000130826	O60832
DMXL1	ENSG00000172869	Q9Y485
DQX1	ENSG00000144045	Q8TE96
DSN1	ENSG00000149636	Q9H410
DUSP11	ENSG00000144048	O75319
DYRK1A	ENSG00000157540	Q13627
DZANK1	ENSG00000089091	Q9NVP4
EEF1B2	ENSG00000114942	P24534
EEF1D	ENSG00000104529	P29692
EFHC2	ENSG00000183690	Q5JST6
EFHD1	ENSG00000115468	Q9BUP0
EIF4E3	ENSG00000163412	Q8N5X7
EN2	ENSG00000164778	P19622
ERICH1	ENSG00000104714	Q86X53
ERICH2	ENSG00000204334	A1L162
ESRRA	ENSG00000173153	P11474
EXOSC8	ENSG00000120699	Q96B26
FADS3	ENSG00000221968	Q9Y5Q0
FAM111A	ENSG00000166801	Q96PZ2
FAM205A	ENSG00000205108	Q6ZU69
FAM214B	ENSG00000005238	Q7L5A3
FAM71E1	ENSG00000142530	Q6IPT2
FAM76B	ENSG00000077458	Q5HYJ3
FBL	ENSG00000105202	P22087
FBLIM1	ENSG00000162458	Q8WUP2
FBLL1	ENSG00000188573	A6NHQ2
FGF14	ENSG00000102466	Q92915
FHIT	ENSG00000189283	P49789
FOXA1	ENSG00000129514	P55317
FOXJ2	ENSG00000065970	Q9P0K8
FOXK1	ENSG00000164916	P85037
FOXL2NB	ENSG00000206262	Q6ZUU3
GAB1	ENSG00000109458	Q13480
GAR1	ENSG00000109534	Q9NY12
GASK1B	ENSG00000164125	Q6UWH4
GFPT1	ENSG00000198380	Q06210
GGT5	ENSG00000099998	P36269
GINM1	ENSG00000055211	Q9NU53
GRINA	ENSG00000178719	Q7Z429
GTF3C3	ENSG00000119041	Q9Y5Q9
HDGFL1	ENSG00000112273	Q5TGJ6
HEATR1	ENSG00000119285	Q9H583
HECW1	ENSG00000002746	Q76N89
HERC4	ENSG00000148634	Q5GLZ8
HEXD	ENSG00000169660	Q8WVB3
HOXB5	ENSG00000120075	P09067
INO80C	ENSG00000153391	Q6PI98
INPP5J	ENSG00000185133	Q15735
IP6K1	ENSG00000176095	Q92551
IP6K2	ENSG00000068745	Q9UHH9
JAZF1	ENSG00000153814	Q86VZ6
KBTBD2	ENSG00000170852	Q8IY47
KDM4A	ENSG00000066135	O75164
KDM5D	ENSG00000012817	Q9BY66
KIF1B	ENSG00000054523	O60333
KLHL35	ENSG00000149243	Q6PF15
KXD1	ENSG00000105700	Q9BQD3
LARP4	ENSG00000161813	Q71RC2
LENG9	ENSG00000275183	
LEO1	ENSG00000166477	Q8WVC0
LHX6	ENSG00000106852	Q9UPM6
LIPA	ENSG00000107798	P38571
LRP12	ENSG00000147650	Q9Y561
LRRC26	ENSG00000184709	Q2I0M4
LRRC47	ENSG00000130764	Q8N1G4
LSM7	ENSG00000130332	Q9UK45
MALT1	ENSG00000172175	Q9UDY8
MAP3K14	ENSG00000006062	Q99558
METTL5	ENSG00000138382	Q9NRN9
MLLT1	ENSG00000130382	Q03111
MON2	ENSG00000061987	Q7Z3U7
MRI1	ENSG00000037757	Q9BV20
MRPL23	ENSG00000214026	Q16540
MSH5	ENSG00000204410	O43196
MUS81	ENSG00000172732	Q96NY9
MYRIP	ENSG00000170011	Q8NFW9
N4BP1	ENSG00000102921	O75113
NECTIN2	ENSG00000130202	Q92692
NFIB	ENSG00000147862	O00712
NFIC	ENSG00000141905	P08651
NFKBIE	ENSG00000146232	O00221
NHEJ1	ENSG00000187736	Q9H9Q4
NKD1	ENSG00000140807	Q969G9
NKX1-1	ENSG00000235608	Q15270
NKX1-2	ENSG00000229544	Q9UD57
NOLC1	ENSG00000166197	Q14978
NONO	ENSG00000147140	Q15233
NOP56	ENSG00000101361	O00567
NOP58	ENSG00000055044	Q9Y2X3
NUAK1	ENSG00000074590	O60285
