Gene	Ensembl	Uniprot
A1CF	ENSG00000148584	Q9NQ94
AAMDC	ENSG00000087884	Q9H7C9
AASS	ENSG00000008311	Q9UDR5
AATF	ENSG00000275700	Q9NY61
ABCA1	ENSG00000165029	O95477
ABCA3	ENSG00000167972	Q99758
ABCA5	ENSG00000154265	Q8WWZ7
ABCA6	ENSG00000154262	Q8N139
ABCA8	ENSG00000141338	O94911
ABCB11	ENSG00000073734	O95342
ABCB4	ENSG00000005471	P21439
ABCB6	ENSG00000115657	Q9NP58
ABCB8	ENSG00000197150	Q9NUT2
ABCC5	ENSG00000114770	O15440
ABCC6	ENSG00000091262	O95255
ABCC9	ENSG00000069431	O60706
ABCG2	ENSG00000118777	Q9UNQ0
ABHD12B	ENSG00000131969	Q7Z5M8
ABHD14B	ENSG00000114779	Q96IU4
ABHD15	ENSG00000168792	Q6UXT9
ABHD16B	ENSG00000183260	Q9H3Z7
ABHD2	ENSG00000140526	P08910
ABHD3	ENSG00000158201	Q8WU67
ABHD4	ENSG00000100439	Q8TB40
ABHD5	ENSG00000011198	Q8WTS1
ABHD6	ENSG00000163686	Q9BV23
ABHD8	ENSG00000127220	Q96I13
ABI2	ENSG00000138443	Q9NYB9
ABITRAM	ENSG00000119328	Q9NX38
ABL1	ENSG00000097007	P00519
ABL2	ENSG00000143322	P42684
ABLIM2	ENSG00000163995	Q6H8Q1
ABLIM3	ENSG00000173210	O94929
ABR	ENSG00000159842	Q12979
ABRACL	ENSG00000146386	Q9P1F3
ABTB2	ENSG00000166016	Q8N961
AC003006.1	ENSG00000269026	
AC004593.2	ENSG00000285162	
AC005726.1	ENSG00000258472	
AC005833.1	ENSG00000255639	
AC006059.2	ENSG00000280571	
AC006486.1	ENSG00000268643	
AC007325.2	ENSG00000277196	
AC008758.5	ENSG00000268870	
AC008770.2	ENSG00000267179	
AC011455.2	ENSG00000269547	
AC012184.2	ENSG00000260537	
AC012213.5	ENSG00000285982	
AC012254.6	ENSG00000288607	Q3SY89
AC012254.7	ENSG00000288631	Q8NG57
AC013489.1	ENSG00000173867	
AC020907.6	ENSG00000285526	
AC058822.1	ENSG00000282278	
AC073610.1	ENSG00000272822	
AC073896.1	ENSG00000144785	
AC087721.2	ENSG00000285920	
AC090373.2	ENSG00000288616	A6NLF2
AC093668.1	ENSG00000270249	
AC097634.4	ENSG00000285708	
AC116366.1	ENSG00000283782	
AC127029.3	ENSG00000285947	
AC132217.2	ENSG00000284779	
AC138696.1	ENSG00000264668	
AC138894.1	ENSG00000261832	
AC138969.1	ENSG00000183889	
ACADVL	ENSG00000072778	P49748
ACAP3	ENSG00000131584	Q96P50
ACAT2	ENSG00000120437	Q9BWD1
ACBD4	ENSG00000181513	Q8NC06
ACBD6	ENSG00000230124	Q9BR61
ACIN1	ENSG00000100813	Q9UKV3
ACKR2	ENSG00000144648	O00590
ACLY	ENSG00000131473	P53396
ACOD1	ENSG00000102794	A6NK06
ACOT12	ENSG00000172497	Q8WYK0
ACOT7	ENSG00000097021	O00154
ACOT9	ENSG00000123130	Q9Y305
ACP1	ENSG00000143727	P24666
ACRBP	ENSG00000111644	Q8NEB7
ACSF2	ENSG00000167107	Q96CM8
ACSF3	ENSG00000176715	Q4G176
ACSL5	ENSG00000197142	Q9ULC5
ACTL6A	ENSG00000136518	O96019
ACTR8	ENSG00000113812	Q9H981
ACTRT3	ENSG00000184378	Q9BYD9
ACYP1	ENSG00000119640	P07311
ACYP2	ENSG00000170634	P14621
ADAL	ENSG00000168803	Q6DHV7
ADAM32	ENSG00000197140	Q8TC27
ADAMTS17	ENSG00000140470	Q8TE56
ADAMTS5	ENSG00000154736	Q9UNA0
ADAR	ENSG00000160710	P55265
ADARB1	ENSG00000197381	P78563
ADAT1	ENSG00000065457	Q9BUB4
ADAT2	ENSG00000189007	Q7Z6V5
ADAT3	ENSG00000213638	
ADCK1	ENSG00000063761	Q86TW2
ADD1	ENSG00000087274	P35611
ADD2	ENSG00000075340	P35612
ADGB	ENSG00000118492	Q8N7X0
ADGRD1	ENSG00000111452	Q6QNK2
ADGRG5	ENSG00000159618	Q8IZF4
ADH4	ENSG00000198099	P08319
ADI1	ENSG00000182551	Q9BV57
ADIRF	ENSG00000148671	Q15847
ADK	ENSG00000156110	P55263
ADNP	ENSG00000101126	Q9H2P0
ADPRH	ENSG00000144843	P54922
ADPRS	ENSG00000116863	Q9NX46
ADRA1A	ENSG00000120907	P35348
ADRM1	ENSG00000130706	Q16186
AEBP1	ENSG00000106624	Q8IUX7
AEBP2	ENSG00000139154	Q6ZN18
AEN	ENSG00000181026	Q8WTP8
AFDN	ENSG00000130396	P55196
AFF1	ENSG00000172493	P51825
AFF3	ENSG00000144218	P51826
AFF4	ENSG00000072364	Q9UHB7
AGAP2	ENSG00000135439	Q99490
AGL	ENSG00000162688	P35573
AGO3	ENSG00000126070	Q9H9G7
AHCTF1	ENSG00000153207	Q8WYP5
AHCYL2	ENSG00000158467	Q96HN2
AHDC1	ENSG00000126705	Q5TGY3
AHR	ENSG00000106546	P35869
AHRR	ENSG00000063438	A9YTQ3
AIM2	ENSG00000163568	O14862
AIPL1	ENSG00000129221	Q9NZN9
AJUBA	ENSG00000129474	Q96IF1
AK9	ENSG00000155085	Q5TCS8
AKAP5	ENSG00000179841	P24588
AKAP8	ENSG00000105127	O43823
AKIP1	ENSG00000166452	Q9NQ31
AKIRIN1	ENSG00000174574	Q9H9L7
AKIRIN2	ENSG00000135334	Q53H80
AKNA	ENSG00000106948	Q7Z591
AKR1A1	ENSG00000117448	P14550
AKR1B1	ENSG00000085662	P15121
AKR1C2	ENSG00000151632	P52895
AKR1C3	ENSG00000196139	P42330
AKR1C4	ENSG00000198610	P17516
AKR1D1	ENSG00000122787	P51857
AKR1E2	ENSG00000165568	Q96JD6
AKT1	ENSG00000142208	P31749
AKT2	ENSG00000105221	P31751
AL031681.2	ENSG00000288000	
AL031777.2	ENSG00000282988	
