,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
9,0.5350231,3.7419934,28448_291_C5_3,13 21 22 25,"F. a. sites,PM,C. Junctions,Cytosol",ENAH,ENSG00000154380,A-431,Q8N8S7 A0A075B6E5 A0A0U1RQP7 A0A0U1RRM6
13,0.078906894,4.120952,28448_291_C5_4,13 21 22 25,"F. a. sites,PM,C. Junctions,Cytosol",ENAH,ENSG00000154380,A-431,Q8N8S7 A0A075B6E5 A0A0U1RQP7 A0A0U1RRM6
30,4.2392845,-6.1332703,62034_1307_F8_3,-1 1 24 25,"Unknow,N. membrane,Aggresome,Cytosol",RANGAP1,ENSG00000100401,HEK 293,P46060 B0QYT4 B0QYT5 B0QYT6 H0Y4Q3
41,4.2147913,-6.134137,62034_1307_F8_4,-1 1 24 25,"Unknow,N. membrane,Aggresome,Cytosol",RANGAP1,ENSG00000100401,HEK 293,P46060 B0QYT4 B0QYT5 B0QYT6 H0Y4Q3
44,2.958382,6.298748,30404_335_H7_2,0 14 16 25,"Nucleoplasm,Microtubules,Cyt. bridge,Cytosol",DZIP1L,ENSG00000158163,A-431,Q8IYY4 C9JD19 C9JRW2 H7C4G2
78,2.9756634,6.299523,30404_335_H7_1,0 14 16 25,"Nucleoplasm,Microtubules,Cyt. bridge,Cytosol",DZIP1L,ENSG00000158163,A-431,Q8IYY4 C9JD19 C9JRW2 H7C4G2
141,-1.5170113,4.856727,69673_1304_A11_4,-1 0 21 23,"Unknow,Nucleoplasm,PM,Mitochondria",XPC,ENSG00000154767,A549,Q01831 E7EUB5
142,-1.5162301,4.8716626,69673_1304_A11_3,-1 0 21 23,"Unknow,Nucleoplasm,PM,Mitochondria",XPC,ENSG00000154767,A549,Q01831 E7EUB5
214,2.294367,7.5431614,40267_1608_F6_1,0 5 16 25,"Nucleoplasm,N. bodies,Cyt. bridge,Cytosol",DNHD1,ENSG00000179532,HaCaT,Q96M86 E9PJT4 E9PM64 J3KTE2 J3QRE5
235,-1.5778043,-2.7280335,40267_1608_F6_2,0 5 16 25,"Nucleoplasm,N. bodies,Cyt. bridge,Cytosol",DNHD1,ENSG00000179532,HaCaT,Q96M86 E9PJT4 E9PM64 J3KTE2 J3QRE5
237,3.8950574,-6.1519737,20730_221_H9_2,0 1 23 25,"Nucleoplasm,N. membrane,Mitochondria,Cytosol",TNRC18,ENSG00000182095,U-251 MG,O15417 A8MTZ4 C9J9K1 H7BXS9 H7C0N9 H7C177 H7C3U5 H9KVB4
271,5.4642124,-1.9549567,20730_248_H9_2,0 1 23 25,"Nucleoplasm,N. membrane,Mitochondria,Cytosol",TNRC18,ENSG00000182095,U-2 OS,O15417 A8MTZ4 C9J9K1 H7BXS9 H7C0N9 H7C177 H7C3U5 H9KVB4
272,5.21161,-1.849837,20730_248_H9_1,0 1 23 25,"Nucleoplasm,N. membrane,Mitochondria,Cytosol",TNRC18,ENSG00000182095,U-2 OS,O15417 A8MTZ4 C9J9K1 H7BXS9 H7C0N9 H7C177 H7C3U5 H9KVB4
283,5.7081637,-2.1171446,20730_221_H9_1,0 1 23 25,"Nucleoplasm,N. membrane,Mitochondria,Cytosol",TNRC18,ENSG00000182095,U-251 MG,O15417 A8MTZ4 C9J9K1 H7BXS9 H7C0N9 H7C177 H7C3U5 H9KVB4
291,-1.7216982,-6.0944376,5732_56_B9_1,0 2 21 25,"Nucleoplasm,Nucleoli,PM,Cytosol",ZBTB33,ENSG00000177485,U-2 OS,Q86T24
292,0.46476525,-4.71818,5732_56_B9_2,0 2 21 25,"Nucleoplasm,Nucleoli,PM,Cytosol",ZBTB33,ENSG00000177485,U-2 OS,Q86T24
633,0.04414415,4.2098365,44628_1303_H6_7,-1 21 25,"Unknow,PM,Cytosol",ANKS1B,ENSG00000185046,A549,Q7Z6G8 F8VR14 F8VVQ4 H0YI72 H0YJZ1 J3QSU0 R4GMN5 R4GMQ4 R4GMS8 R4GN07 R4GN70 R4GN73 R4GN78 R4GNJ0
674,0.44998664,4.105771,64312_1199_B7_6,21 22 27,"PM,C. Junctions,Rods & Rings",SCRIB,ENSG00000180900,U-2 OS,Q14160 A0A669KAX5 A0A669KB89 H0YCG0 H0YDF9
675,0.5460051,3.782535,64312_1199_B7_5,21 22 27,"PM,C. Junctions,Rods & Rings",SCRIB,ENSG00000180900,U-2 OS,Q14160 A0A669KAX5 A0A669KB89 H0YCG0 H0YDF9
784,0.00776453,4.240567,44628_1303_H6_6,-1 21 25,"Unknow,PM,Cytosol",ANKS1B,ENSG00000185046,A549,Q7Z6G8 F8VR14 F8VVQ4 H0YI72 H0YJZ1 J3QSU0 R4GMN5 R4GMQ4 R4GMS8 R4GN07 R4GN70 R4GN73 R4GN78 R4GNJ0
954,-1.8151975,7.6048594,28448_546_C5_2,13 21 25,"F. a. sites,PM,Cytosol",ENAH,ENSG00000154380,U-251 MG,Q8N8S7 A0A075B6E5 A0A0U1RQP7 A0A0U1RRM6
955,-1.889385,7.712349,28448_546_C5_1,13 21 25,"F. a. sites,PM,Cytosol",ENAH,ENSG00000154380,U-251 MG,Q8N8S7 A0A075B6E5 A0A0U1RQP7 A0A0U1RRM6
958,-1.5794872,7.262589,28448_254_C5_2,13 21 25,"F. a. sites,PM,Cytosol",ENAH,ENSG00000154380,U-2 OS,Q8N8S7 A0A075B6E5 A0A0U1RQP7 A0A0U1RRM6
960,-1.4497709,7.095991,28448_254_C5_1,13 21 25,"F. a. sites,PM,Cytosol",ENAH,ENSG00000154380,U-2 OS,Q8N8S7 A0A075B6E5 A0A0U1RQP7 A0A0U1RRM6
1092,5.0171614,5.056854,28985_370_C3_1,11 21 25,"Int. fil.,PM,Cytosol",PHACTR4,ENSG00000204138,U-251 MG,Q8IZ21 A0A0J9YVR0 A0A0J9YWV8 A0A0J9YY52
1093,5.162403,5.12969,28985_366_C3_2,11 21 25,"Int. fil.,PM,Cytosol",PHACTR4,ENSG00000204138,U-2 OS,Q8IZ21 A0A0J9YVR0 A0A0J9YWV8 A0A0J9YY52
