,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
222,0.031183867,-4.143157,17888_150_D7_1,0 2 13 14,"Nucleoplasm,Nucleoli,F. a. sites,Microtubules",TNNT2,ENSG00000118194,A-431,P45379 A0A0A0MRJ4 A0A0A0MRJ5 A0A499FJM7 A0A590UJV2 A0A590UK21 A0A590UK91 A0A590UKC2 E7EPN8 E7EPW4 Q7Z554
225,3.6795459,5.8040857,17888_150_D7_2,0 2 13 14,"Nucleoplasm,Nucleoli,F. a. sites,Microtubules",TNNT2,ENSG00000118194,A-431,P45379 A0A0A0MRJ4 A0A0A0MRJ5 A0A499FJM7 A0A590UJV2 A0A590UK21 A0A590UK91 A0A590UKC2 E7EPN8 E7EPW4 Q7Z554
226,3.6388266,5.837869,17888_151_D7_1,0 2 13 14,"Nucleoplasm,Nucleoli,F. a. sites,Microtubules",TNNT2,ENSG00000118194,U-2 OS,P45379 A0A0A0MRJ4 A0A0A0MRJ5 A0A499FJM7 A0A590UJV2 A0A590UK21 A0A590UK91 A0A590UKC2 E7EPN8 E7EPW4 Q7Z554
229,3.6552176,5.81996,17888_151_D7_2,0 2 13 14,"Nucleoplasm,Nucleoli,F. a. sites,Microtubules",TNNT2,ENSG00000118194,U-2 OS,P45379 A0A0A0MRJ4 A0A0A0MRJ5 A0A499FJM7 A0A590UJV2 A0A590UK21 A0A590UK91 A0A590UKC2 E7EPN8 E7EPW4 Q7Z554
458,5.3219414,4.76325,29666_369_G12_1,0 2 11 25,"Nucleoplasm,Nucleoli,Int. fil.,Cytosol",MDN1,ENSG00000112159,A-431,Q9NU22 M0QXR3 Q5T795
459,5.28231,4.797022,29666_369_G12_2,0 2 11 25,"Nucleoplasm,Nucleoli,Int. fil.,Cytosol",MDN1,ENSG00000112159,A-431,Q9NU22 M0QXR3 Q5T795
2053,2.841462,4.623226,33836_924_H10_2,6 14 25,"ER,Microtubules,Cytosol",DYNC1I2,ENSG00000077380,U-251 MG,Q13409 E7EMU4 E7EQL5 E7EQU2 E7ERH4 E7ERR6 E7ESD3 E7ET01 E7ETL8 E7EU01 E7EUM4 E7EV09 E9PGG1
2092,2.6977696,4.4150844,33836_924_H10_1,6 14 25,"ER,Microtubules,Cytosol",DYNC1I2,ENSG00000077380,U-251 MG,Q13409 E7EMU4 E7EQL5 E7EQU2 E7ERH4 E7ERR6 E7ESD3 E7ET01 E7ETL8 E7EU01 E7EUM4 E7EV09 E9PGG1
2983,2.5519168,0.8354312,47844_728_G7_1,-1 2 25,"Unknow,Nucleoli,Cytosol",WASHC2A,ENSG00000099290,U-2 OS,Q641Q2 A0A087WYF6 B1AP61 E7ESD2 F8W7U3 Q5T1D7
2984,2.6323001,0.5909158,47844_728_G7_2,-1 2 25,"Unknow,Nucleoli,Cytosol",WASHC2A,ENSG00000099290,U-2 OS,Q641Q2 A0A087WYF6 B1AP61 E7ESD2 F8W7U3 Q5T1D7
2985,1.2068584,-4.0957456,47844_748_G7_1,-1 2 25,"Unknow,Nucleoli,Cytosol",WASHC2A,ENSG00000099290,A-431,Q641Q2 A0A087WYF6 B1AP61 E7ESD2 F8W7U3 Q5T1D7
2986,1.1799536,-4.169146,47844_748_G7_2,-1 2 25,"Unknow,Nucleoli,Cytosol",WASHC2A,ENSG00000099290,A-431,Q641Q2 A0A087WYF6 B1AP61 E7ESD2 F8W7U3 Q5T1D7
3612,0.9887185,-5.108556,36295_569_B4_2,2 12 25,"Nucleoli,Actin fil.,Cytosol",NPM3,ENSG00000107833,U-251 MG,O75607
3613,0.83586675,-5.0980515,36295_569_B4_3,2 12 25,"Nucleoli,Actin fil.,Cytosol",NPM3,ENSG00000107833,U-251 MG,O75607
3647,1.0291998,-5.110849,36295_563_B4_1,2 12 25,"Nucleoli,Actin fil.,Cytosol",NPM3,ENSG00000107833,A-431,O75607
3652,1.0216281,-5.1058645,36295_563_B4_2,2 12 25,"Nucleoli,Actin fil.,Cytosol",NPM3,ENSG00000107833,A-431,O75607
3682,0.95473003,5.5246525,71956_1394_A11_10,2 12 25,"Nucleoli,Actin fil.,Cytosol",PPP1R12A,ENSG00000058272,U-2 OS,O14974 A0A0U1RQZ1 A0A3B3ISH4 F8VW28 F8VZN8 H0YHI8 H0YHL8 H0YIL7 H0YIM2 H0YIS3 H0YIS4
3683,0.9909602,-5.0318027,71956_1394_A11_1,2 12 25,"Nucleoli,Actin fil.,Cytosol",PPP1R12A,ENSG00000058272,U-2 OS,O14974 A0A0U1RQZ1 A0A3B3ISH4 F8VW28 F8VZN8 H0YHI8 H0YHL8 H0YIL7 H0YIM2 H0YIS3 H0YIS4
3684,1.0134999,-4.824574,71956_1385_A11_3,2 21 25,"Nucleoli,PM,Cytosol",PPP1R12A,ENSG00000058272,RT4,O14974 A0A0U1RQZ1 A0A3B3ISH4 F8VW28 F8VZN8 H0YHI8 H0YHL8 H0YIL7 H0YIM2 H0YIS3 H0YIS4
3685,0.99456936,-4.9181495,71956_1385_A11_1,2 21 25,"Nucleoli,PM,Cytosol",PPP1R12A,ENSG00000058272,RT4,O14974 A0A0U1RQZ1 A0A3B3ISH4 F8VW28 F8VZN8 H0YHI8 H0YHL8 H0YIL7 H0YIM2 H0YIS3 H0YIS4
4834,-2.005334,-6.087452,36850_417_D2_2,0 3 25,"Nucleoplasm,N. fibrillar c.,Cytosol",BEND4,ENSG00000188848,U-2 OS,Q6ZU67 A0A0C4DGA9 A0A0C4DGU1
4835,-1.9927702,-6.0169253,36850_417_D2_1,0 3 25,"Nucleoplasm,N. fibrillar c.,Cytosol",BEND4,ENSG00000188848,U-2 OS,Q6ZU67 A0A0C4DGA9 A0A0C4DGU1
