,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
175,-1.2448705,1.6819205,9656_68_A8_1,0 12 21 25,"Nucleoplasm,Actin fil.,PM,Cytosol",ZNF174,ENSG00000103343,U-251 MG,Q15697 I3L2H2
176,-1.1604159,1.7928636,9656_68_A8_2,0 12 21 25,"Nucleoplasm,Actin fil.,PM,Cytosol",ZNF174,ENSG00000103343,U-251 MG,Q15697 I3L2H2
213,3.599287,6.868295,53785_840_F4_2,0 3 14 16,"Nucleoplasm,N. fibrillar c.,Microtubules,Cyt. bridge",ESRRA,ENSG00000173153,MCF7,P11474 A0A6E1WCP9 F5GWT5 F5H0E9 H0YGT3
219,-1.7444257,-5.4785924,27270_546_H10_1,-1 0 3 25,"Unknow,Nucleoplasm,N. fibrillar c.,Cytosol",MAP3K14,ENSG00000006062,U-251 MG,Q99558 A0A087WXF1
221,-1.7407532,-5.4808445,27270_546_H10_2,-1 0 3 25,"Unknow,Nucleoplasm,N. fibrillar c.,Cytosol",MAP3K14,ENSG00000006062,U-251 MG,Q99558 A0A087WXF1
230,3.6138697,6.8660192,53785_840_F4_1,0 3 14 16,"Nucleoplasm,N. fibrillar c.,Microtubules,Cyt. bridge",ESRRA,ENSG00000173153,MCF7,P11474 A0A6E1WCP9 F5GWT5 F5H0E9 H0YGT3
254,5.9996104,-2.5475335,41664_491_F1_3,0 3 23 25,"Nucleoplasm,N. fibrillar c.,Mitochondria,Cytosol",CD3EAP,ENSG00000117877,U-2 OS,O15446 K7EMH2 K7EQC8
255,5.9677815,-2.5920465,41664_491_F1_1,0 3 23 25,"Nucleoplasm,N. fibrillar c.,Mitochondria,Cytosol",CD3EAP,ENSG00000117877,U-2 OS,O15446 K7EMH2 K7EQC8
352,-0.17599992,0.10621574,27270_254_H10_1,-1 0 3 25,"Unknow,Nucleoplasm,N. fibrillar c.,Cytosol",MAP3K14,ENSG00000006062,U-2 OS,Q99558 A0A087WXF1
353,-1.8187479,-5.219477,27270_254_H10_2,-1 0 3 25,"Unknow,Nucleoplasm,N. fibrillar c.,Cytosol",MAP3K14,ENSG00000006062,U-2 OS,Q99558 A0A087WXF1
354,-0.36395898,-1.4953879,27270_291_H10_2,-1 0 3 25,"Unknow,Nucleoplasm,N. fibrillar c.,Cytosol",MAP3K14,ENSG00000006062,A-431,Q99558 A0A087WXF1
359,-0.09924153,-1.2780733,27270_291_H10_4,-1 0 3 25,"Unknow,Nucleoplasm,N. fibrillar c.,Cytosol",MAP3K14,ENSG00000006062,A-431,Q99558 A0A087WXF1
463,-1.8616394,-5.531198,23438_194_B11_2,-1 0 3 25,"Unknow,Nucleoplasm,N. fibrillar c.,Cytosol",ZBTB37,ENSG00000185278,U-2 OS,Q5TC79
466,-1.9728084,-6.0491104,23438_194_B11_1,-1 0 3 25,"Unknow,Nucleoplasm,N. fibrillar c.,Cytosol",ZBTB37,ENSG00000185278,U-2 OS,Q5TC79
787,-2.3078997,-5.1048646,62359_1227_C10_1,0 3 5 26,"Nucleoplasm,N. fibrillar c.,N. bodies,C. bodies",TMEM62,ENSG00000137842,A-431,Q0P6H9 H3BN45 H3BPP8 H3BPV2 H3BQZ2 H3BRA3 H3BTT1 H3BU73 H3BVF7
788,-3.214226,-4.5071635,62359_1227_C10_4,0 3 5 26,"Nucleoplasm,N. fibrillar c.,N. bodies,C. bodies",TMEM62,ENSG00000137842,A-431,Q0P6H9 H3BN45 H3BPP8 H3BPV2 H3BQZ2 H3BRA3 H3BTT1 H3BU73 H3BVF7
789,-2.4643533,-5.0613465,62359_1271_C10_2,0 3 5 26,"Nucleoplasm,N. fibrillar c.,N. bodies,C. bodies",TMEM62,ENSG00000137842,U-2 OS,Q0P6H9 H3BN45 H3BPP8 H3BPV2 H3BQZ2 H3BRA3 H3BTT1 H3BU73 H3BVF7
794,-2.227462,-5.176581,62359_1271_C10_3,0 3 5 26,"Nucleoplasm,N. fibrillar c.,N. bodies,C. bodies",TMEM62,ENSG00000137842,U-2 OS,Q0P6H9 H3BN45 H3BPP8 H3BPV2 H3BQZ2 H3BRA3 H3BTT1 H3BU73 H3BVF7
