,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
91,1.0398487,-4.3164635,78239_1790_F6_4,-1 2 21 25,"Unknow,Nucleoli,PM,Cytosol",ABCA12,ENSG00000144452,hTCEpi,Q86UK0 E9PBK1
92,0.66635334,-4.6626163,78239_1790_F6_3,-1 2 21 25,"Unknow,Nucleoli,PM,Cytosol",ABCA12,ENSG00000144452,hTCEpi,Q86UK0 E9PBK1
93,3.6135304,5.978475,24795_1773_E12_6,2 14 16 17,"Nucleoli,Microtubules,Cyt. bridge,Mitotic spindle",KIF2B,ENSG00000141200,U-2 OS,Q8N4N8
94,3.649425,5.85022,24795_1773_E12_2,2 14 16 17,"Nucleoli,Microtubules,Cyt. bridge,Mitotic spindle",KIF2B,ENSG00000141200,U-2 OS,Q8N4N8
123,3.6489959,5.6065965,26087_280_E8_2,2 14 21 25,"Nucleoli,Microtubules,PM,Cytosol",ZNF397,ENSG00000186812,U-2 OS,Q8NF99 K7EIM5 K7ERU5 M0R288 Q96K65
125,3.6760347,5.5385857,26087_280_E8_1,2 14 21 25,"Nucleoli,Microtubules,PM,Cytosol",ZNF397,ENSG00000186812,U-2 OS,Q8NF99 K7EIM5 K7ERU5 M0R288 Q96K65
128,0.32765836,3.368381,24049_342_E12_2,3 21 22 25,"N. fibrillar c.,PM,C. Junctions,Cytosol",DCTN6,ENSG00000104671,A-431,O00399 E5RFU3 E5RGW9 E5RIK5 E5RK00
129,0.3720738,3.2397473,24049_342_E12_3,3 21 22 25,"N. fibrillar c.,PM,C. Junctions,Cytosol",DCTN6,ENSG00000104671,A-431,O00399 E5RFU3 E5RGW9 E5RIK5 E5RK00
222,0.031183867,-4.143157,17888_150_D7_1,0 2 13 14,"Nucleoplasm,Nucleoli,F. a. sites,Microtubules",TNNT2,ENSG00000118194,A-431,P45379 A0A0A0MRJ4 A0A0A0MRJ5 A0A499FJM7 A0A590UJV2 A0A590UK21 A0A590UK91 A0A590UKC2 E7EPN8 E7EPW4 Q7Z554
225,3.6795459,5.8040857,17888_150_D7_2,0 2 13 14,"Nucleoplasm,Nucleoli,F. a. sites,Microtubules",TNNT2,ENSG00000118194,A-431,P45379 A0A0A0MRJ4 A0A0A0MRJ5 A0A499FJM7 A0A590UJV2 A0A590UK21 A0A590UK91 A0A590UKC2 E7EPN8 E7EPW4 Q7Z554
226,3.6388266,5.837869,17888_151_D7_1,0 2 13 14,"Nucleoplasm,Nucleoli,F. a. sites,Microtubules",TNNT2,ENSG00000118194,U-2 OS,P45379 A0A0A0MRJ4 A0A0A0MRJ5 A0A499FJM7 A0A590UJV2 A0A590UK21 A0A590UK91 A0A590UKC2 E7EPN8 E7EPW4 Q7Z554
229,3.6552176,5.81996,17888_151_D7_2,0 2 13 14,"Nucleoplasm,Nucleoli,F. a. sites,Microtubules",TNNT2,ENSG00000118194,U-2 OS,P45379 A0A0A0MRJ4 A0A0A0MRJ5 A0A499FJM7 A0A590UJV2 A0A590UK21 A0A590UK91 A0A590UKC2 E7EPN8 E7EPW4 Q7Z554
240,0.72357094,6.3361087,21536_187_B7_1,0 2 12 25,"Nucleoplasm,Nucleoli,Actin fil.,Cytosol",LRCH1,ENSG00000136141,A-431,Q9Y2L9 C9J5B8 C9JWE0
