,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
237,3.8950574,-6.1519737,20730_221_H9_2,0 1 23 25,"Nucleoplasm,N. membrane,Mitochondria,Cytosol",TNRC18,ENSG00000182095,U-251 MG,O15417 A8MTZ4 C9J9K1 H7BXS9 H7C0N9 H7C177 H7C3U5 H9KVB4
271,5.4642124,-1.9549567,20730_248_H9_2,0 1 23 25,"Nucleoplasm,N. membrane,Mitochondria,Cytosol",TNRC18,ENSG00000182095,U-2 OS,O15417 A8MTZ4 C9J9K1 H7BXS9 H7C0N9 H7C177 H7C3U5 H9KVB4
272,5.21161,-1.849837,20730_248_H9_1,0 1 23 25,"Nucleoplasm,N. membrane,Mitochondria,Cytosol",TNRC18,ENSG00000182095,U-2 OS,O15417 A8MTZ4 C9J9K1 H7BXS9 H7C0N9 H7C177 H7C3U5 H9KVB4
283,5.7081637,-2.1171446,20730_221_H9_1,0 1 23 25,"Nucleoplasm,N. membrane,Mitochondria,Cytosol",TNRC18,ENSG00000182095,U-251 MG,O15417 A8MTZ4 C9J9K1 H7BXS9 H7C0N9 H7C177 H7C3U5 H9KVB4
2368,-0.5412219,3.4071617,56486_913_D10_3,0 21 25,"Nucleoplasm,PM,Cytosol",SRPK1,ENSG00000096063,U-251 MG,Q96SB4 D6RB98 D6RBF8 D6RBM8 D6RDZ3 H0Y932 H3BLV9
2369,-0.45868066,3.0645888,56486_914_D10_1,0 21 25,"Nucleoplasm,PM,Cytosol",SRPK1,ENSG00000096063,U-2 OS,Q96SB4 D6RB98 D6RBF8 D6RBM8 D6RDZ3 H0Y932 H3BLV9
2370,-0.3236273,2.8386357,56486_914_D10_2,0 21 25,"Nucleoplasm,PM,Cytosol",SRPK1,ENSG00000096063,U-2 OS,Q96SB4 D6RB98 D6RBF8 D6RBM8 D6RDZ3 H0Y932 H3BLV9
2386,-0.43701598,2.885719,56486_913_D10_6,0 21 25,"Nucleoplasm,PM,Cytosol",SRPK1,ENSG00000096063,U-251 MG,Q96SB4 D6RB98 D6RBF8 D6RBM8 D6RDZ3 H0Y932 H3BLV9
2642,5.321494,4.921431,29981_374_H2_1,-1 0 11,"Unknow,Nucleoplasm,Int. fil.",SMARCA2,ENSG00000080503,A-431,P51531 A0A0A0MSS5 A0A0A0MT03 A0A0U1RQE1 A0A0U1RQP3 A0A0U1RQS1 A0A0U1RQU0 A0A0U1RQW7 A0A0U1RQX3 A0A0U1RQZ9 A0A0U1RR09 A0A0U1RR26 A0A0U1RR45 A0A0U1RR83 A0A0U1RRD6 A0A0U1RRF5 A0A0U1RRF8 A0A0U1RRG6 A0A0U1RRJ4 A0A0U1RRJ8 A0A0U1RRN2 A0A1B0GTC9 A0A1B0GU54 A0A1B0GUV6 A0A1B0GWA8 A0A1W2PS06 B1ALF6 B1ALG1 B1ALG2 B4DNT1 F6RS74 F6T8Q0 F6UH26 F6VDE0 F6XE55
2644,5.3208623,4.894955,29981_374_H2_2,-1 0 11,"Unknow,Nucleoplasm,Int. fil.",SMARCA2,ENSG00000080503,A-431,P51531 A0A0A0MSS5 A0A0A0MT03 A0A0U1RQE1 A0A0U1RQP3 A0A0U1RQS1 A0A0U1RQU0 A0A0U1RQW7 A0A0U1RQX3 A0A0U1RQZ9 A0A0U1RR09 A0A0U1RR26 A0A0U1RR45 A0A0U1RR83 A0A0U1RRD6 A0A0U1RRF5 A0A0U1RRF8 A0A0U1RRG6 A0A0U1RRJ4 A0A0U1RRJ8 A0A0U1RRN2 A0A1B0GTC9 A0A1B0GU54 A0A1B0GUV6 A0A1B0GWA8 A0A1W2PS06 B1ALF6 B1ALG1 B1ALG2 B4DNT1 F6RS74 F6T8Q0 F6UH26 F6VDE0 F6XE55
