,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
254,5.9996104,-2.5475335,41664_491_F1_3,0 3 23 25,"Nucleoplasm,N. fibrillar c.,Mitochondria,Cytosol",CD3EAP,ENSG00000117877,U-2 OS,O15446 K7EMH2 K7EQC8
255,5.9677815,-2.5920465,41664_491_F1_1,0 3 23 25,"Nucleoplasm,N. fibrillar c.,Mitochondria,Cytosol",CD3EAP,ENSG00000117877,U-2 OS,O15446 K7EMH2 K7EQC8
479,0.7599886,-4.51562,38487_436_H6_7,0 2 21 25,"Nucleoplasm,Nucleoli,PM,Cytosol",RRP8,ENSG00000132275,A-431,O43159 E9PPP6 E9PPY3 E9PS87
487,0.64400876,-4.301755,38487_436_H6_6,0 2 21 25,"Nucleoplasm,Nucleoli,PM,Cytosol",RRP8,ENSG00000132275,A-431,O43159 E9PPP6 E9PPY3 E9PS87
1157,1.0234513,-5.1188374,42820_496_C10_4,0 1 2 23,"Nucleoplasm,N. membrane,Nucleoli,Mitochondria",CMSS1,ENSG00000184220,U-251 MG,Q9BQ75 C9IY68 C9J384 F8WC72 H7C515
1158,0.9545454,-5.13357,42820_496_C10_1,0 1 2 23,"Nucleoplasm,N. membrane,Nucleoli,Mitochondria",CMSS1,ENSG00000184220,U-251 MG,Q9BQ75 C9IY68 C9J384 F8WC72 H7C515
5013,0.3863748,-4.6341147,57562_980_G6_3,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",RRP8,ENSG00000132275,U-2 OS,O43159 E9PPP6 E9PPY3 E9PS87
5014,0.4129832,-4.6593843,57562_980_G6_2,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",RRP8,ENSG00000132275,U-2 OS,O43159 E9PPP6 E9PPY3 E9PS87
5015,0.81225806,-4.375003,57562_976_G6_3,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",RRP8,ENSG00000132275,U-251 MG,O43159 E9PPP6 E9PPY3 E9PS87
5016,0.9237016,-4.33158,57562_976_G6_1,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",RRP8,ENSG00000132275,U-251 MG,O43159 E9PPP6 E9PPY3 E9PS87
5017,0.1691635,-4.7163033,57562_975_G6_2,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",RRP8,ENSG00000132275,A-431,O43159 E9PPP6 E9PPY3 E9PS87
5046,0.13023593,-4.727061,57562_975_G6_1,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",RRP8,ENSG00000132275,A-431,O43159 E9PPP6 E9PPY3 E9PS87
5138,0.63669884,-4.4726653,38487_442_H6_2,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",RRP8,ENSG00000132275,U-2 OS,O43159 E9PPP6 E9PPY3 E9PS87
5156,0.3890755,-4.529549,38487_442_H6_1,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",RRP8,ENSG00000132275,U-2 OS,O43159 E9PPP6 E9PPY3 E9PS87
5281,0.5934463,-4.427511,38487_521_H6_2,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",RRP8,ENSG00000132275,U-251 MG,O43159 E9PPP6 E9PPY3 E9PS87
