,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
97,-0.38899937,3.5571778,69824_1752_A10_2_cr5804d8ab17e20,0 21 22 25,"Nucleoplasm,PM,C. Junctions,Cytosol",SCHIP1,ENSG00000151967,HUVEC TERT2,P0DPB3 C9JWG6 F8WDG0
116,-0.338047,4.0693564,69824_1752_A10_18_cr5804d8b501042,0 21 22 25,"Nucleoplasm,PM,C. Junctions,Cytosol",SCHIP1,ENSG00000151967,HUVEC TERT2,P0DPB3 C9JWG6 F8WDG0
167,0.15797675,3.5294008,27613_290_B12_2,5 21 22 25,"N. bodies,PM,C. Junctions,Cytosol",S100A14,ENSG00000189334,A-431,Q9HCY8
170,0.47474626,3.5110884,27613_290_B12_1,5 21 22 25,"N. bodies,PM,C. Junctions,Cytosol",S100A14,ENSG00000189334,A-431,Q9HCY8
171,0.17107227,5.2813773,27613_1207_H4_3,5 21 22 25,"N. bodies,PM,C. Junctions,Cytosol",S100A14,ENSG00000189334,MCF7,Q9HCY8
172,0.13443488,5.224506,27613_1207_H4_1,5 21 22 25,"N. bodies,PM,C. Junctions,Cytosol",S100A14,ENSG00000189334,MCF7,Q9HCY8
175,-1.2448705,1.6819205,9656_68_A8_1,0 12 21 25,"Nucleoplasm,Actin fil.,PM,Cytosol",ZNF174,ENSG00000103343,U-251 MG,Q15697 I3L2H2
176,-1.1604159,1.7928636,9656_68_A8_2,0 12 21 25,"Nucleoplasm,Actin fil.,PM,Cytosol",ZNF174,ENSG00000103343,U-251 MG,Q15697 I3L2H2
340,5.2467694,-1.0080435,69824_1373_C8_3,0 5 22 25,"Nucleoplasm,N. bodies,C. Junctions,Cytosol",SCHIP1,ENSG00000151967,SH-SY5Y,P0DPB3 C9JWG6 F8WDG0
341,-3.6067896,-4.2403297,69824_1373_C8_2,0 5 22 25,"Nucleoplasm,N. bodies,C. Junctions,Cytosol",SCHIP1,ENSG00000151967,SH-SY5Y,P0DPB3 C9JWG6 F8WDG0
360,-3.6817884,-3.4298627,27612_290_E11_1,0 5 19 25,"Nucleoplasm,N. bodies,Centrosome,Cytosol",ID2,ENSG00000115738,A-431,Q02363
361,-2.510781,3.210735,27612_290_E11_2,0 5 19 25,"Nucleoplasm,N. bodies,Centrosome,Cytosol",ID2,ENSG00000115738,A-431,Q02363
364,0.42876604,3.5327652,28494_291_F4_1,0 5 21 25,"Nucleoplasm,N. bodies,PM,Cytosol",TRMT13,ENSG00000122435,A-431,Q9NUP7 Q5VVK9 Q5VVL2
365,0.9290368,2.7875826,28494_291_F4_2,0 5 21 25,"Nucleoplasm,N. bodies,PM,Cytosol",TRMT13,ENSG00000122435,A-431,Q9NUP7 Q5VVK9 Q5VVL2
