,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
53,-2.3128693,2.9275296,42462_1126_D1_2,4 19 21 25,"N. speckles,Centrosome,PM,Cytosol",CRIP1,ENSG00000213145,A549,P50238
54,-2.3942728,2.966608,42462_1126_D1_4,4 19 21 25,"N. speckles,Centrosome,PM,Cytosol",CRIP1,ENSG00000213145,A549,P50238
168,-6.6311436,1.4545422,49854_785_B2_8,-1 4 21 25,"Unknow,N. speckles,PM,Cytosol",PACSIN2,ENSG00000100266,HeLa,Q9UNF0 A0A0U1RR22 B0QYG7 B0QYG8 B0QYG9 H0Y923
174,-6.4787064,1.6093354,49854_823_F1_2,-1 4 21 25,"Unknow,N. speckles,PM,Cytosol",PACSIN2,ENSG00000100266,CACO-2,Q9UNF0 A0A0U1RR22 B0QYG7 B0QYG8 B0QYG9 H0Y923
186,-6.5617285,1.5827924,49854_783_B2_1,-1 4 21 25,"Unknow,N. speckles,PM,Cytosol",PACSIN2,ENSG00000100266,U-2 OS,Q9UNF0 A0A0U1RR22 B0QYG7 B0QYG8 B0QYG9 H0Y923
190,-6.479132,1.5334163,49854_783_B2_2,-1 4 21 25,"Unknow,N. speckles,PM,Cytosol",PACSIN2,ENSG00000100266,U-2 OS,Q9UNF0 A0A0U1RR22 B0QYG7 B0QYG8 B0QYG9 H0Y923
204,-6.578016,1.4373686,49854_785_B2_7,-1 4 21 25,"Unknow,N. speckles,PM,Cytosol",PACSIN2,ENSG00000100266,HeLa,Q9UNF0 A0A0U1RR22 B0QYG7 B0QYG8 B0QYG9 H0Y923
212,-6.5019555,1.600691,49854_823_F1_3,-1 4 21 25,"Unknow,N. speckles,PM,Cytosol",PACSIN2,ENSG00000100266,CACO-2,Q9UNF0 A0A0U1RR22 B0QYG7 B0QYG8 B0QYG9 H0Y923
263,-6.872093,0.83642715,28710_1721_C7_7_cr5800bd94930a7,2 4 21 26,"Nucleoli,N. speckles,PM,C. bodies",IPCEF1,ENSG00000074706,CACO-2,Q8WWN9 A0A2Q2T6B6 E5RGB6 E5RGN6 E5RJQ7 E5RK08
308,1.2365763,-0.79581887,28467_291_D7_1,4 7 21 25,"N. speckles,Golgi app.,PM,Cytosol",SDE2,ENSG00000143751,A-431,Q6IQ49
309,-6.5201454,1.8027289,28467_291_D7_2,4 7 21 25,"N. speckles,Golgi app.,PM,Cytosol",SDE2,ENSG00000143751,A-431,Q6IQ49
391,-6.407661,1.7000908,10464_991_D3_5,4 7 21 22,"N. speckles,Golgi app.,PM,C. Junctions",EPHA2,ENSG00000142627,A549,P29317
