Uniprot	Gene
G5E9R7	KRTAP4-16
Q9NRJ4	TULP4
Q5MIZ7	PPP4R3B
Q9NVL8	CCDC198
Q9NQ76	MEPE
Q8TBF8	FAM81A
Q5H9L2	TCEAL5
P20930	FLG
F8VUJ3	POC1B-GALNT4
P20936	RASA1
Q496A3	SPATS1
Q9UPQ9	TNRC6B
Q8WXE9	STON2
Q15572	TAF1C
Q5H9L4	TAF7L
Q9NXR8	ING3
Q9C0H2	TTYH3
Q9C0H5	ARHGAP39
Q4VXU2	PABPC1L
Q00537	CDK17
Q00536	CDK16
Q9NXR5	ANKRD10
Q6UXI7	VIT
Q92917	GPKOW
O00716	E2F3
Q8IX01	SUGP2
Q6VAB6	KSR2
Q96KS0	EGLN2
A8MTA8	FAM166B
Q6BEB4	SP5
Q9Y6M9	NDUFB9
Q13835	PKP1
P40424	PBX1
P40425	PBX2
P40426	PBX3
Q7Z3T8	ZFYVE16
Q13838	DDX39B
Q8TDW7	FAT3
Q96DR7	ARHGEF26
Q5M775	SPECC1
A6H8Z2	FAM221B
Q5VUR7	ANKRD20A3P
P05386	RPLP1
P05387	RPLP2
P24863	CCNC
P05388	RPLP0
P02765	AHSG
Q8WTV1	THAP3
Q9UQ05	KCNH4
Q7Z6Z7	HUWE1
Q9H5J8	TAF1D
Q9UJ78	ZMYM5
Q9GZN6	SLC6A16
O15255	RTL8C
Q6ZTI6	RFLNA
O15259	NPHP1
P41180	CASR
P29400	COL4A5
Q5VWT5	FYB2
Q86XA9	HEATR5A
Q96DX7	TRIM44
Q5T5X7	BEND3
Q2VWP7	PRTG
Q9Y6V7	DDX49
Q01118	SCN7A
Q8N7S6	ARIH2OS
A8MZG2	C16orf90
Q96CS4	ZNF689
Q9P218	COL20A1
Q8N6K0	TEX29
P62807	H2BC10
P62807	H2BC4
P62807	H2BC6
P62807	H2BC7
P62807	H2BC8
Q9P217	ZSWIM5
Q8N6K7	SAMD3
Q92833	JARID2
P83881	RPL36A
Q92830	KAT2A
Q92837	FRAT1
Q9H3M9	ATXN3L
Q92838	EDA
Q9H3M0	KCNF1
Q8TAL5	C9orf43
B4DJY2	TMEM233
Q8WWQ0	PHIP
O43933	PEX1
O43930	PRKY
Q9HC73	CRLF2
Q9BZG8	DPH1
Q9Y597	KCTD3
Q92598	HSPH1
P01233	CGB3
P01233	CGB5
P01233	CGB7
P01233	CGB8
Q09161	NCBP1
A6NCC3	GOLGA8O
Q86W92	PPFIBP1
Q13547	HDAC1
Q5DJT8	CT45A2
Q99935	OPRPN
P53701	HCCS
Q9UKZ4	TENM1
Q14568	HSP90AA2P
Q9H967	WDR76
Q14563	SEMA3A
Q14562	DHX8
Q8WYB5	KAT6B
Q14566	MCM6
Q9NWM3	CUEDC1
Q9NWM0	SMOX
Q9NRH2	SNRK
P58397	ADAMTS12
A6NIR3	AGAP5
Q96PG8	BBC3
P41218	MNDA
P41219	PRPH
Q9UHF7	TRPS1
P41214	EIF2D
Q86VP1	TAX1BP1
P41212	ETV6
Q86VY4	TSPYL5
Q92521	PIGB
Q86VP3	PACS2
Q92522	H1-10
Q92597	NDRG1
Q7L8L6	FASTKD5
Q86VY9	TMEM200A
Q8N5F7	NKAP
P23352	ANOS1
Q96A99	PTX4
Q96MC5	BMERB1
Q5T9C2	FAM102A
Q2QGD7	ZXDC
Q02878	RPL6
P27448	MARK3
Q7Z5P9	MUC19
Q9HAP2	MLXIP
Q96HA4	C1orf159
Q96HA7	TONSL
Q96MC9	C1orf147
Q96HA1	POM121
P31995	FCGR2C
O75164	KDM4A
O75167	PHACTR2
Q9H211	CDT1
O75161	NPHP4
Q9H213	MAGEH1
Q96G23	CERS2
Q5VZL5	ZMYM4
Q96G27	WBP1
Q96G25	MED8
Q9BY79	MFRP
Q9HBH9	MKNK2
Q9UKJ3	GPATCH8
Q8TEH3	DENND1A
O60384	ZNF861P
Q5TBA9	FRY
O60383	GDF9
O60381	HBP1
P08123	COL1A2
Q9NXR1	NDE1
Q96AH0	NABP1
P10914	IRF1
P10912	GHR
Q6U949	IGF2-AS
Q15768	EFNB3
Q76NI1	KNDC1
