POLR1F,NUCKS,NUCKSdelK
9.472046205,4.751571649,2.335943775
10.6040264,5.415839753,1.885542169
9.806237624,4.380647149,2.009919679
10.18452145,5.815392912,1.883534137
9.702145215,4.214006163,1.990200803
9.437887789,5.253898305,2.038875502
10.79679868,5.52375963,2.058634538
10.92854785,5.935023112,2.034819277
9.8230033,5.86449923,1.921686747
11.03970297,5.620785824,2.419036145
8.966369637,4.413528505,2.282449799
7.908006231,4.659060092,1.915662651
8.444018692,4.554468413,2.126385542
8.306567657,6.486733436,1.933172691
10.09663551,4.808690293,2.293574297
9.767788162,4.99229584,1.872048193
8.375140187,4.779506934,1.868032129
10.11056075,5.793528505,2.009919679
8.86635514,4.733389831,1.853694779
10.20732087,4.340338983,1.982771084
9.683115265,5.552449923,2.038875502
9.334080997,4.070662558,1.997871486
8.459750779,4.022449923,1.992771084
8.371152648,4.293913713,1.873092369
10.0611838,5.592804314,2.376305221
9.162149533,4.37605547,2.221285141
8.456978193,6.270986133,1.800361446
8.620498442,4.825531587,1.90562249
8.503607595,5.776440678,2.115421687
10.22037975,7.543297381,1.833052209
9.307120253,6.065916795,1.889678715
8.590791139,6.541278891,1.622148997
8.756898734,6.784699538,2.025358166
10.22917722,5.213559322,1.556361032
9.188829114,4.760292758,1.703495702
11.49984177,4.773189522,1.813467049
10.98522152,5.06751926,1.937765043
12.36335443,4.758089368,1.594842407
10.26987342,6.107457627,1.612922636
11.05838608,5.580739599,1.671146132
11.19759494,6.603682589,1.976045845
11.21028481,6.824822804,1.681948424
11.44674051,4.900107858,1.632836676
11.4096519,4.216486903,1.615472779
10.54148734,5.116625578,1.835358166
11.93829114,4.410508475,1.62234957
11.51699367,4.426872111,1.888194842
10.57787975,5.158274268,1.66739255
10.76974684,3.929808362,1.547994269
9.839208861,4.003031359,1.629283668
10.50300633,4.48184669,1.529512894
10.79234177,4.559233449,1.558424069
9.704113924,4.466341463,2.120200573
,5.842787456,1.923323782
,3.81358885,1.983982808
,4.024041812,
,4.645121951,
,5.566480836,
,3.719512195,
,6.889059233,
,4.213501742,
,4.330766551,
,3.575662021,
,5.383066202,
,5.832700348,
,4.042020906,
,3.773519164,
,6.385644599,
,5.257003484,
,5.884198606,
,4.827735192,
