wavelength	ph6		ph6.5		ph7		ph7.5		ph8
578.8		946.6		752.7		409.76		253.1		152.9
596.4		1043.78		890.48		571.21		454.77		350.85
605.2		1021.71		981.08		761.39		761.46		651.61
614		1058.64		1184.75		1130.14		1290.12		1196.21
622.8		1104.24		1433.87		1554.69		1907.39		1822.28
631.6		1243.32		1775.84		2075.24		2640.56		2559.57
640.4		1346.49		2095.22		2578.94		3333.97		3254.69
649.2		1448.57		2340.82		2940.51		3840.17		3770.6
658		1288.33		2224.73		2883.17		3805.82		3743.48
666.8		1154.91		2033.6		2667.56		3521.04		3476.9
675.6		939.96		1710.49		2285.33		3052.53		3014.25
684.4		766.69		1377.01		1841.12		2448.96		2430.91
693.2		451.07		887.51		1210.68		1646.02		1624.94
