  231106_NCL_Pre-condensate    231106_NCL_Pre-dilute    231106_NCL_Pre_LYAR-condensate    231106_NCL_Pre_LYAR-dilute    231106_NPM1_Mat-condensate    231106_NPM1_Mat-dilute    230615_NdelLPre_L0p2uM-condensate    230615_NdelLPre_L0p2uM-dilute
                  6.8457130                7.0914510                       nan                           nan                           nan                       nan                                  nan                              nan
                  6.8514940                7.0841780                       nan                           nan                           nan                       nan                                  nan                              nan
                  6.8592000                7.0682590                       nan                           nan                           nan                       nan                                  nan                              nan
                  6.8513300                7.1011485                       nan                           nan                           nan                       nan                                  nan                              nan
                  6.8483700              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8715010              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8604790              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8686620              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8724870              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8740100              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8548840              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8475110              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8490350              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8637390              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8584160              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8705550              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8598790              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8454970              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8487680              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                  6.8687780              nan                               nan                           nan                           nan                       nan                                  nan                              nan
                nan                      nan                                 6.8548840                     7.1061195                   nan                       nan                                  nan                              nan
                nan                      nan                                 6.8475110                     7.1061195                   nan                       nan                                  nan                              nan
                nan                      nan                                 6.8801470                     7.1126365                   nan                       nan                                  nan                              nan
                nan                      nan                                 6.8490350                     7.1168150                   nan                       nan                                  nan                              nan
                nan                      nan                                 6.8637390                   nan                           nan                       nan                                  nan                              nan
                nan                      nan                                 6.8584160                   nan                           nan                       nan                                  nan                              nan
                nan                      nan                                 6.8369840                   nan                           nan                       nan                                  nan                              nan
                nan                      nan                                 6.8705550                   nan                           nan                       nan                                  nan                              nan
                nan                      nan                                 6.8598790                   nan                           nan                       nan                                  nan                              nan
                nan                      nan                                 6.8454970                   nan                           nan                       nan                                  nan                              nan
                nan                      nan                                 6.8815970                   nan                           nan                       nan                                  nan                              nan
                nan                      nan                                 6.8487680                   nan                           nan                       nan                                  nan                              nan
                nan                      nan                                 6.8789090                   nan                           nan                       nan                                  nan                              nan
                nan                      nan                                 6.8687780                   nan                           nan                       nan                                  nan                              nan
                nan                      nan                               nan                           nan                             6.5194140                 7.0965390                          nan                              nan
                nan                      nan                               nan                           nan                             6.5194500                 7.1010655                          nan                              nan
                nan                      nan                               nan                           nan                             6.4859770                 7.0888590                          nan                              nan
                nan                      nan                               nan                           nan                             6.5117620                 7.0985400                          nan                              nan
                nan                      nan                               nan                           nan                             6.5006770               nan                                  nan                              nan
                nan                      nan                               nan                           nan                             6.4941110               nan                                  nan                              nan
                nan                      nan                               nan                           nan                             6.5026720               nan                                  nan                              nan
                nan                      nan                               nan                           nan                             6.4922490               nan                                  nan                              nan
                nan                      nan                               nan                           nan                             6.4925470               nan                                  nan                              nan
                nan                      nan                               nan                           nan                           nan                       nan                                    7.0483730                        7.1493255
                nan                      nan                               nan                           nan                           nan                       nan                                    7.0468530                        7.1461465
                nan                      nan                               nan                           nan                           nan                       nan                                    7.0368370                        7.1292015
                nan                      nan                               nan                           nan                           nan                       nan                                    7.0469380                        7.1444195
                nan                      nan                               nan                           nan                           nan                       nan                                    7.0330120                      nan
