Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >sp|Q8WWQ0|PHIP_HUMAN PH-interacting protein OS=Homo sapiens OX=9606 GN=PHIP PE=1 SV=2	specific	99928	1316	1434	9.57041e-71	232.348	cd05496	Bromo_WDR9_II	 - 	cl02556
Q#1 - >sp|Q8WWQ0|PHIP_HUMAN PH-interacting protein OS=Homo sapiens OX=9606 GN=PHIP PE=1 SV=2	specific	238121	175	495	9.1996e-60	207.573	cd00200	WD40	 - 	cl29593
Q#1 - >sp|Q8WWQ0|PHIP_HUMAN PH-interacting protein OS=Homo sapiens OX=9606 GN=PHIP PE=1 SV=2	specific	99958	1148	1263	2.05816e-40	145.943	cd05529	Bromo_WDR9_I_like	 - 	cl02556
Q#2 - >sp|Q03989|ARI5A_HUMAN AT-rich interactive domain-containing protein 5A OS=Homo sapiens OX=9606 GN=ARID5A PE=1 SV=2	specific	350648	61	143	4.0039e-59	191.753	cd16884	ARID_ARID5A	 - 	cl28902
Q#3 - >sp|O75398|DEAF1_HUMAN Deformed epidermal autoregulatory factor 1 homolog OS=Homo sapiens OX=9606 GN=DEAF1 PE=1 SV=1	specific	128554	201	273	1.16513e-33	122.453	smart00258	SAND	 - 	cl02536
Q#3 - >sp|O75398|DEAF1_HUMAN Deformed epidermal autoregulatory factor 1 homolog OS=Homo sapiens OX=9606 GN=DEAF1 PE=1 SV=1	specific	426410	504	540	2.02596e-12	61.6557	pfam01753	zf-MYND	 - 	cl20224
Q#4 - >sp|A6NEL2|SWAHB_HUMAN Ankyrin repeat domain-containing protein SOWAHB OS=Homo sapiens OX=9606 GN=SOWAHB PE=1 SV=1	specific	372654	631	690	3.68109e-09	53.0474	pfam13637	Ank_4	 - 	cl37869
Q#4 - >sp|A6NEL2|SWAHB_HUMAN Ankyrin repeat domain-containing protein SOWAHB OS=Homo sapiens OX=9606 GN=SOWAHB PE=1 SV=1	superfamily	439329	2	78	2.29454e-05	42.8863	cl45559	CSB_WHD superfamily	 - 	 - 
Q#4 - >sp|A6NEL2|SWAHB_HUMAN Ankyrin repeat domain-containing protein SOWAHB OS=Homo sapiens OX=9606 GN=SOWAHB PE=1 SV=1	superfamily	400932	564	741	0.00117506	41.991	cl38293	Nucleoporin_N superfamily	N	 - 
Q#5 - >sp|Q5JTH9|RRP12_HUMAN RRP12-like protein OS=Homo sapiens OX=9606 GN=RRP12 PE=1 SV=2	specific	429852	471	671	2.36019e-94	300.98	pfam08161	NUC173	 - 	cl06969
Q#6 - >sp|Q68E01|INT3_HUMAN Integrator complex subunit 3 OS=Homo sapiens OX=9606 GN=INTS3 PE=1 SV=1	specific	431123	85	492	0	683.573	pfam10189	Ints3	 - 	cl10883
Q#7 - >sp|Q9C0A1|ZFHX2_HUMAN Zinc finger homeobox protein 2 OS=Homo sapiens OX=9606 GN=ZFHX2 PE=1 SV=3	specific	238039	1858	1916	2.48693e-16	74.9724	cd00086	homeodomain	 - 	cl00084
Q#7 - >sp|Q9C0A1|ZFHX2_HUMAN Zinc finger homeobox protein 2 OS=Homo sapiens OX=9606 GN=ZFHX2 PE=1 SV=3	specific	425441	2069	2121	2.84907e-16	74.8526	pfam00046	Homeobox	 - 	cl00084
Q#7 - >sp|Q9C0A1|ZFHX2_HUMAN Zinc finger homeobox protein 2 OS=Homo sapiens OX=9606 GN=ZFHX2 PE=1 SV=3	specific	425441	1598	1651	3.42709e-15	71.771	pfam00046	Homeobox	 - 	cl00084
Q#7 - >sp|Q9C0A1|ZFHX2_HUMAN Zinc finger homeobox protein 2 OS=Homo sapiens OX=9606 GN=ZFHX2 PE=1 SV=3	superfamily	223021	2207	2365	9.69498e-06	51.4777	cl33720	PHA03247 superfamily	N	 - 
Q#7 - >sp|Q9C0A1|ZFHX2_HUMAN Zinc finger homeobox protein 2 OS=Homo sapiens OX=9606 GN=ZFHX2 PE=1 SV=3	specific	404746	508	532	0.000956631	38.3003	pfam13909	zf-H2C2_5	 - 	cl16469
Q#8 - >sp|Q86X53|ERIC1_HUMAN Glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ERICH1 PE=1 SV=1	superfamily	227596	193	330	3.2562e-06	49.6123	cl34967	MDN1 superfamily	N	 - 
Q#9 - >sp|Q9UJV9|DDX41_HUMAN Probable ATP-dependent RNA helicase DDX41 OS=Homo sapiens OX=9606 GN=DDX41 PE=1 SV=2	specific	350709	192	397	4.63832e-148	425.985	cd17951	DEADc_DDX41	 - 	cl28899
Q#9 - >sp|Q9UJV9|DDX41_HUMAN Probable ATP-dependent RNA helicase DDX41 OS=Homo sapiens OX=9606 GN=DDX41 PE=1 SV=2	specific	223587	153	566	1.97943e-134	403.017	COG0513	SrmB	C	cl33924
Q#10 - >sp|Q9ULD2|MTUS1_HUMAN Microtubule-associated tumor suppressor 1 OS=Homo sapiens OX=9606 GN=MTUS1 PE=1 SV=2	superfamily	274008	919	1215	3.29084e-15	81.2562	cl37069	SMC_prok_B superfamily	N	 - 
Q#11 - >sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1	specific	429087	9	278	1.06071e-166	474.808	pfam06732	Pescadillo_N	 - 	cl37745
Q#11 - >sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1	superfamily	227492	6	584	1.057e-151	448.755	cl34924	NOP7 superfamily	 - 	 - 
Q#12 - >sp|Q15021|CND1_HUMAN Condensin complex subunit 1 OS=Homo sapiens OX=9606 GN=NCAPD2 PE=1 SV=3	superfamily	227429	60	1245	1.00952e-108	371.62	cl34900	COG5098 superfamily	 - 	 - 
Q#13 - >sp|Q9NW13|RBM28_HUMAN RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3	specific	409850	487	581	2.37917e-49	168.162	cd12416	RRM4_RBM28_like	 - 	cl17169
Q#13 - >sp|Q9NW13|RBM28_HUMAN RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3	specific	409848	115	190	1.69764e-43	151.165	cd12414	RRM2_RBM28_like	 - 	cl17169
Q#13 - >sp|Q9NW13|RBM28_HUMAN RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3	specific	409847	5	81	1.22618e-35	129.249	cd12413	RRM1_RBM28_like	 - 	cl17169
Q#13 - >sp|Q9NW13|RBM28_HUMAN RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3	specific	409849	335	417	4.06225e-34	125.02	cd12415	RRM3_RBM28_like	 - 	cl17169
